RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED,OTHER
509,LOSTIOS GRILL RESTAURANT (MB),36594,2615 Mt Vernon Ave,Alexandria,VA,22301,PREPARED MB ORDER IN ADVANCE,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,3/30/2007,12/6/2007,1/2/2008,," $ 4,000.00 ",5,,,,
122,EVENING STAR CAFÉ DAILY PLANET,76888,2000 - 2004 Mt Vernon Ave,Alexandria,VA,223011310,QUALIFICATIONS,1,N,ALEXANDRIA,INITIAL HEARING,5/18/2007,9/11/2007,10/23/2007,,,,,,Y,
94,"AVALON CATERERS INTL, INC.",43131,109 Clermont Ave,Alexandria,VA,223044837,KEPT UNAUTHORIZED AB ON PREMISES,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/27/2007,,9/4/2007,10," $ 1,000.00 ",,,,,
2,MY BAKERY & CAFÉ,44380,3839 Mt Vernon Ave,Alexandria,VA,22305,ADVERTISED HAPPY HOUR CONTRARY TO RULES & REGS,1,N,ALEXANDRIA,INITIAL HEARING,4/9/2007,8/2/2007,9/14/2007,7, $ 500.00 ,,,,,
753,SPECTRUM RESTAURANT,34144,251 W Glebe Rd,Alexandria,VA,22305,KEPT UNAUTHOROZED AB FOR SALE,1,N,ALEXANDRIA,INITIAL HEARING,6/22/2007,2/6/2008,03/17/08,15," $ 1,000.00 ",,,,,
653,APPLEBEE'S NEIGHBORHOOD GRILL ,19838,6310 Richmond Hwy,Alexandria,VA,22306,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/23/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
810,MIGUELITO CHICKEN (MB),78024,6333 C S King Hwy,Alexandria,VA,22306,LICENSEE KEPT UNAUTHORIZED AB FOR SALE,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/16/2008,,3/26/2008,10," $ 1,000.00 ",,,,,
926,MEXICO LINDO SECRET RESTAURANT (MB),50368,8786 Richmond Hwy,Alexandria,VA,22309,PREPARED PATRON'S ORDER IN ADVANCE,1,N,ALEXANDRIA,INITIAL HEARING,8/22/2007,3/26/2008,04/30/08,10," $ 1,000.00 ",,,,,
498,NEW WASHINGTON HOUSE,55942,8537 Richmond Hwy,Alexandria,VA,223098513,FAILED TO KEEP COMPLETE & ACCURATE RECORDS; PURCHASED AB FROM AN UNAUTHORIZED PERSON; CONSUMED AB WHILE ON DUTY; SOLD AB IN AN UNAUTHORIZED MANNER;FAILED TO OBLITERATE MB STAMPS IMMEDIATELY;TAMPERED WITH CONTENTS OF CONTAINERS OF AB.,6,Y,ALEXANDRIA,BOARD APPEAL HEARING,11/16/2006,9/6/2007,9/11/2007,,,,,Y,,REVOKED
445,PHO KIM,26833,6050C Rose Hill Dr,Alexandria,VA,22310,PERMITTED UAB TO ACT AS DESIGNATED MGR.; FAILED TO KEEP DESIGNATED MGR'S NAME POSTED,2,N,ALEXANDRIA,INITIAL HEARING,6/6/2007,8/3/2007,9/13/2007,,,,12,,,
962,LUCKY'S SPORTS THEATRE & GRILL,48767,7027B Manchester Blvd,Alexandria,VA,22310,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/10/2007,4/8/2008,05/14/08,,,,,,Y,
582,SAFEWAY # 1285,58195,6130 Rose Hill Dr,Alexandria,VA,223101901,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/10/2007,12/28/2007,1/29/2008,," $ 5,000.00 ",3,,,,
467,7 ELEVEN STORE 2554 10725A,42254,4949 Seminary Rd,Alexandria,VA,223111835,SOLD TO UAB; SOLD TO INTOXICATED PERSON,2,N,ALEXANDRIA,INITIAL HEARING,12/15/2006,8/7/2007,9/19/2007,25," $ 2,000.00 ",,,,,
659,NAMY BISTRO,41229,6237 Little River Tpke,Alexandria,VA,22312,FAILED TO HAVE A DESIGNATED MGR. PRESENT; LICENSEE ADVERTISED AB CONTRARY TO RULES & REGS.; FAILED TO COMPLY W/CONDITION OF LICENSE,3,N,ALEXANDRIA,INITIAL HEARING,8/29/2007,12/28/2007,2/1/2008,10," $ 2,250.00 ",,,,,
57,100 KING RESTAURANT,39355,100 King St,Alexandria,VA,22314,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,1/1/2007,6/29/2007,8/10/2007,7, $ 500.00 ,,,,,
579,LA TASCA SPANISH TAPAS & REST,41922,607 King St,Alexandria,VA,22314,KEPT UNAUTHORIZED AB FOR SALE; ADVERTISED HAPPY HOUR CONTRARY TO RULES; PREPARED MB IN ADVANCE; KEPT UNAUTHORIZED MD FOR SALE,4,Y,ALEXANDRIA,BOARD APPEAL HEARING,3/11/2007,9/7/2007,1/28/2008,10," $ 2,000.00 ",,,,,
661,PAT TROY'S RESTAURANT & PUB,8898,111 N Pitt St,Alexandria,VA,22314,FAILED TO KEEP COMPLETE & ACCURATE RECORDS AT THE PLACE OF BUSINESS;  LICENSEE ADVERTISED AB CONTRARY TO RULES & REGS.,2,N,ALEXANDRIA,INITIAL HEARING,5/3/2007,12/28/2007,2/4/2008,7," $ 1,000.00 ",,,,,
801,TWO NINETEEN RESTAURANT,25866,219 King St,Alexandria,VA,22314,FAILED TO KEEP COMPLETE ACCURATE & SEPARATE RECORDS; LICENSEE KEPT UNAUTHORIZED AB FOR SALE,2,N,ALEXANDRIA,INITIAL HEARING,8/2/2007,2/14/2008,03/26/08,15," $ 2,000.00 ",7,,,,
918,BITTERSWEET CATERING,77155,823 King Street,Alexandria,VA,22314,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/28/2008,,04/25/08,25," $ 2,000.00 ",,,,,
992,SOUTHSIDE 815,59257,815 S Washington St,Alexandria,VA,22314,SOLD AB IN AN UNAUTHORIZED MANNER; ALLOWED CONSUMPTION OF AB BY AN INTOXICATED PERSON; MADE AB GIFTS TO A PERSON; QUALIFICATIONS,4,Y,ALEXANDRIA,OFFER IN COMPROMISE,2/2/2007,4/22/2008,6/3/2008,," $ 4,500.00 ",3,,,,
480,LEE'S WINE & GOURMET,76679,801 Bashford Ln,Alexandria,VA,223141309,FAILED TO POST DESIGNATED MGR. DURING BUSINESS HOURS/LICENSEE IS UNABLE TO UNDERSTAND THE ENGLISH LANGUAGE/FAILED TO HAVE A DESIGNATED MGR. IN CHARGE,3,N,ALEXANDRIA,INITIAL HEARING,10/4/2006,6/11/2007,7/19/2007,," $ 1,000.00 ",,,,,INDEFINITE SUSPENSION
476,ESMERALDA RESTAURANT,35774,728 N Henry St,Alexandria,VA,223141829,FAILED TO HAVE DESIGNATED MGR. PRESENT; ALLOWED TO KEEP UNAUTHORIZED AB FOR SALE; FAILED TO OBLITERATE THE MB STAMPS IMMEDIATELY WHEN CONTAINERS ARE EMPTIED,3,Y,ALEXANDRIA,INITIAL HEARING,3/14/2007,6/29/2007,8/9/2007,10," $ 3,500.00 ",,,,,
451,HANA TOKYO,17206,4603 Duke St,Alexandria,VA,223142505,QUALIFICATIONS; KEPT UNAUTHORIZED AB FOR SALE,2,N,ALEXANDRIA,INITIAL HEARING,12/8/2006,6/29/2007,8/15/2007,7," $ 1,000.00 ",,,,,
554,PINES OF FLORENCE ,11715,1300 King St,Alexandria,VA,223142929,FAILED TO KEEP COMPLETE RECORDS; FAILED TO SUBMIT TO THE BOARD COMPLETE ANNUAL REVIEW REPORT,2,N,ALEXANDRIA,INITIAL HEARING,3/1/2007,12/3/2007,1/15/2008,7," $ 1,000.00 ",,,,,
65,COSI (MB),9341,700 King St,Alexandria,VA,223143015,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/31/2007,,9/26/2007,7, $ 500.00 ,,,,,
587,FRIENDLY MART,41374,2727 Duke St,Alexandria,VA,223144589,FAILED TO HAVE DESIGNATED MGR. PRESENT ,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/22/2007,,1/4/2008,7, $ 500.00 ,,,,,
245,FAS MART # 2,26108,2515 Salem Church Rd,Fredericksburg,VA,2240,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
348,TEXAS STEAKHOUSE & SALOON,34507,1901 Carl D Sliver Blvd,Fredericksburg,VA,22401,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/24/2007,,11/26/2007,25," $ 2,000.00 ",,,,,
386,LATINO MARKET INTERNATIONAL FOOD,31371,2026 Plank Rd,Fredericksburg,VA,22401,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,10/17/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
900,GREEK HOUSE OF PIZZA,74925,"215 King Hwy, Ste 105",Fredericksburg,VA,22405,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/13/2008,,04/21/08,25," $ 2,000.00 ",,,,,
321,CVS PHARMACY # 4335,29133,1 MC Whart Loop,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/19/2007,,10/25/2007,25," $ 2,000.00 ",,,,,
531,ANTHONY'S ITALIAN PIZZA & REST,41054,736 Warrenton Rd  Ste 105,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,5/3/2007,10/24/2007,1/4/2008,25," $ 2,000.00 ",,,,,
822,WAWA FOOD MARKETS # 668,9009,830 Warrenton Rd,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/13/2008,,03/26/08,25," $ 2,000.00 ",,,,,
246,TARGET STORE T 2138,45161,9785 Jefferson Davis Hwy,Fredericksburg,VA,22407,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
168,FAS MART # 32,26091,8520 Jefferson Davis Rd,Fredericksburg,VA,22407,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/4/2007,60," $ 5,000.00 ",15,,,,
862,GEORGE'S PIZZA,9268,5306 Plank Rd,Fredericksburg,VA,22407,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/5/2008,,04/08/08,25," $ 2,000.00 ",,,,,
539,"PAISANO'S ITALIAN EATERY, LLC",49540,5442 Southpoint Plaza Way,Fredericksburg,VA,224072662,APPLICATION OBJECTION: CONVICTED FELON,1,N,RICHMOND-NORTH,INITIAL HEARING,11/2/2007,12/21/2007,1/9/2008,,,,,,,APPLICATION-LICENSE GRANTED
248,CVS PHARMACY # 1568,86,5832 Harrison Rd,Fredericksburg,VA,224074202,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
571,7 ELEVEN STORE 2531 28434B,13482,11101 Leavells Rd,Fredericksburg,VA,224075015,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/19/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
249,EXXON # 26885,14205,5326 Jefferson Davis Hwy,Fredericksburg,VA,22408,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
160,FIESTA SEVEN SUPERMARKET,40948,104 Olde Greenwich Dr,Fredericksburg,VA,22408,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/5/2007,12/4/2007,30," $ 3,000.00 ",10,,,,
681,HOOTERS OF FREDERICKSBURG,10830,10400 Spotsylvania Ave,Fredericksburg,VA,22408,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,4/23/2007,2/6/2008,2/14/2008,25," $ 5,000.00 ",,,,,
942,7 ELEVEN STORE 32910B,49944,4640 Lee Hill School Dr,Fredericksburg,VA,22408,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/5/2008,,05/12/08,25," $ 2,000.00 ",,,,,
526,TIDEWATER MARKET,42659,10721 Tidewater Trl,Fredericksburg,VA,224082050,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,7/3/2007,11/15/2007,1/4/2008,," $ 4,500.00 ",3,,,,
144,7 ELEVEN STORE 2531 23835C,12579,5206 Jefferson Davis Hwy,Fredericksburg,VA,224082606,SOLD TO UAB,1,Y,RICHMOND-NORTH,BOARD APPEAL HEARING,11/7/2007,10/2/2007,10/24/2007,," $ 4,000.00 ",7,,,,
139,7 ELEVEN STORE 2531 11134D,28668,2700 Lafayette Blvd,Fredericksburg,VA,224083918,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,7/3/2007,10/19/2007,11/8/2007,," $ 4,500.00 ",3,,,,
630,PIZZA HUT D4,22275,156 E Broaddus Ave,Bowling Green,VA,22427,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,10/23/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
135,CALLAO SUPERMARKET,22360,35 Northumberland Hwy,Callao,VA,22435,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,6/15/2007,9/7/2007,9/20/2007,," $ 4,500.00 ",3,,,,
234,HERBERT WILKERSON & SON,4784,3900 McKinney Blvd,Colonial Beach,VA,22443,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
893,EL COCHINO RESTAURANT & CANTINA,48939,3611 Kings Hwy,Colonial Beach,VA,22443,QUALIFICATIONS,1,N,RICHMOND-NORTH,INITIAL HEARING,10/23/2007,3/21/2008,04/22/08,,,,,,,APPLICATION-LICENSE GRANTED
222,PIZZA HUT,60572,589 N Main St,Kilmarnock,VA,22482,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,7/30/2007,25," $ 2,000.00 ",,,,,
1059,SAL'S ITALIAN PIZZA,31494,456 N Main St,Kilmarnock,VA,22482,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,5/8/2008,,06/18/08,25," $ 2,000.00 ",,,,,
228,HUNAN CAFÉ,40466,17130 Dahlgren Rd,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
581,KING GEORGE HOUSE OF PIZZA & REST,25436,11437 Ridge Rd,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,OFFER IN COMPROMISE,10/15/2007,1/9/2008,1/28/2008,," $ 1,500.00 ",,,,,
981,FAS MART 20,26127,8181 Kings Hwy,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,05/15/08,25," $ 2,000.00 ",,,,,
999,7 ELEVEN STORE 2531 20504C,39577,12450 James Madison Pky,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,6/4/2008,25," $ 2,000.00 ",,,,,
1019,FOOD LION 1582,9916,8149 Kings Hwy,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,06/05/08,25," $ 2,000.00 ",,,,,
215,LEWISETTA MARINA & GROCERY STORE,48902,369 Church Ln,Lottsburg,VA,22511,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,7/26/2007,25," $ 2,000.00 ",,,,,
892,NINO'S PIZZA RESTAURANT,77702,101 East End Plaza,Montross,VA,22520,CONVICTED FELON,1,Y,RICHMOND-NORTH,INITIAL HEARING,3/22/2006,3/14/2008,04/22/08,90," $ 1,000.00 ",60,,,,
172,MT. HOLLY STEAMBOAT INN,17409,3673 Cople Hwy,Montross,VA,225203600,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,5/31/2007,,11/5/2007,7, $ 500.00 ,,,,,
163,PARTLOW MAEKET,12002,2976 Partlow Rd,Partlow,VA,225349572,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/7/2007,30," $ 3,000.00 ",10,,,,
164,PARTLOW MARKET,12002,2976 Partlow Rd,Partlow,VA,225349572,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/7/2007,30," $ 3,000.00 ",10,,,,
1084,THE COUNTRY STORE,32643,227 Sunnybank Rd,Reedville,VA,22539,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,5/8/2008,,06/30/08,25," $ 2,000.00 ",,,,,
616,LADYSMITH EXXON,38174,8270 Ladysmith Rd,Ladysmith,VA,22546,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,10/23/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
848,GRAPES OF TASTE,47510,18196 Jefferson Davis Hwy,Ruther Glen,VA,22546,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/7/2008,,04/01/08,25," $ 2,000.00 ",,,,,
174,GIT & GO,28952,9243 Courthouse Rd,Spotsylvania,VA,22553,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,11/7/2006,5/14/2007,7/9/2007,15," $ 1,500.00 ",,,,,
244,FAS MART # 17,26125,9815 Courthouse Rd,Spotsylvania,VA,22553,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
253,601 VARIETY STORE,46767,6261 Lawyers Rd,Spotsylvania,VA,22553,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/20/2007,25," $ 2,000.00 ",,,,,
518,CHEWNING GROCERY,7195,9100 Courthouse Rd,Spotsylvania,VA,22553,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,11/8/2007,1/2/2008,15," $ 1,500.00 ",,,,,
190,JUDY'S CARDS AND GIFTS,25812,2250 Valley Ave,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,5/25/2007,,7/9/2007,25," $ 2,000.00 ",,,,,
330,MORGAN'S CORNER STORE,44675,236 E Piccadilly St,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,9/5/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
101,MILANO'S RESTORANT & BAR ,42636,107 W Boscawen St,Winchester,VA,22601,NOT LEGITIMATE OWNER OF BUSINESS,1,N,STAUNTON,INITIAL HEARING,3/1/2007,10/15/2007,11/29/2007,,,,12,,,
107,MILANO'S RESTORANT & BAR (MB),42636,107 W Boscawen St,Winchester,VA,22601,PREPARED MB EXCEPT PURSUANT TO A PATRON'S ORDER & IMMEDIATELY PRECEDING DELIVERY TO THE PATRON,1,N,STAUNTON,INITIAL HEARING,5/4/2007,9/26/2007,11/29/2007,7, $ 500.00 ,,,,,
576,"PERLITAS MEXICAN RESTAURANT, INC.",34868,101 Weems Ln,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/12/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
739,PICCADILLY'S BREW PUB & RESTAURANT,40629,125 E Piccadilly St,Winchester,VA,22601,SOLD TO UAB; ALLOWED CONSUMPTION BY INTOXICATED PERSON,2,Y,STAUNTON,BOARD APPEAL HEARING,7/19/2007,10/11/2007,3/6/2008,30," $ 4,000.00 ",4,,,,
747,"ANTHONY'S XIII PIZZA, INC.",31770,688 N Loudoun St,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,03/11/08,25," $ 2,000.00 ",,,,,
771,SHEETZ CONVENIENCE STORE,71282,601 Millwood Ave,Winchester,VA ,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,03/20/08,25," $ 2,000.00 ",,,,,
784,THE OLIVE GARDEN ITALIAN REST. #1669,41512,2590 S Pleasant Valley Rd,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,03/20/08,25," $ 2,000.00 ",,,,,
871,SWEET CAROLINE'S,20756,29 W Cork St,Winchester,VA,22601,ALLOWED CONSUMPTION OF AB BY AN INTOXICATED PERSON; ALLOWED INTOXICATED PERSON TO LOITER,2,Y,STAUNTON,INITIAL HEARING,3/1/2007,3/6/2008,04/11/08,25," $ 2,000.00 ",,,,,
879,RESTAURANT & TAQUERIS LOS COMPADRES ,43495,222 E Piccadilly St,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,OFFER IN COMPROMISE,1/10/2008,4/4/2008,04/15/08,," $ 2,000.00 ",,,,,
909,HANDY MART #1,11962,2150 S Loudoun St,Winchester,VA,22601,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,04/25/08,25," $ 2,000.00 ",,,,,
138,ITALIAN SPECIALTY BY DONATO,41246,229 S Loudoun St,Winchester,VA,226014635,SOLD TO UAB,1,Y,STAUNTON,OFFER IN COMPROMISE,5/25/2007,10/16/2007,10/29/2007,," $ 4,500.00 ",3,,,,
540,LOS TOLTECOS AUTHENTIC MEXICAN ,37074,1046 Milwood Pike,Winchester,VA,22602,LANGUAGE BARRIER,1,N,STAUNTON,INITIAL HEARING,7/11/2007,11/27/2007,1/9/2008,,,,,,Y,
740,LOS TOLTECOS AUTHENTIC MEXICAN,37074,1046 Milwood Pike,Winchester,VA,22602,SOLD TO 3 UAB'S; ALLOWED CONSUMPTION BY 3 UAB'S,2,N,STAUNTON,BOARD APPEAL HEARING,3/23/2007,9/7/2007,3/5/2008,25," $ 2,500.00 ",,,,,
9,CAROLINA'S CUISINE,30791,1181 Front Royal Pike,Winchester,VA,22603,ALLOWED AN INTOXICATED TO LOITER UPON THE PREMISES,1,N,STAUNTON,INITIAL HEARING,3/24/2007,6/29/2007,8/9/2007,7, $ 500.00 ,,,,,
297,ROUND HILL SHOPPING CENTER,40735,2578 Northwestern Pike,Winchester,VA,226033811,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,8/4/2007,,10/2/2007,25," $ 2,000.00 ",,,,,
991,J & J CORNER,30613,4192 Harry Byrd Hwy,Berryville,VA,22611,SOLD TO UAB,1,Y,STAUNTON,OFFER IN COMPROMISE,1/10/2008,5/2/2008,6/3/2008,," $ 4,500.00 ",3,,,,
397,JIM'S COUNTRY STORE,20513,26 Shenandoah River Ln,Boyce,VA,22620,SOLD TO UAB,1,N,STAUNTON,INITIAL HEARING,5/25/2007,9/26/2007,11/28/2007,25," $ 2,000.00 ",,,,,
106,FRATERNAL ORDER OF EAGLES #4265,43375,218 4th St,Front Royal,VA,22630,"POLICE RECORD - OFFICER, DIRECTOR, MGR., ETC.",1,N,STAUNTON,INITIAL HEARING,2/10/2007,5/14/2007,7/9/2007,7, $ 500.00 ,,,,,
494,GRAPEVINE RESTAURANT,40861,915 N Royal Ave,Front Royal,VA,22630,FAILED TO KEEP MGR.'S NAME POSTED/FAILED TO KEEP RECORDS AT PLACE OF BUSINESS/KEPT UNAUTHORIZED AB FOR SALE/FAILED TO OBLITERATE MB STAMPS,4,N,STAUNTON,INITIAL HEARING,1/30/2007,6/7/2007,7/17/2007,7," $ 1,000.00 ",,,,,
212,FRONT ROYAL BP,42132,851 John Marshall Hwy,Front Royal,VA,22630,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/14/2007,,7/26/2007,25," $ 2,000.00 ",,,,,
58,GRAPEVINE RESTAURANT,40861,915 N Royal Ave,Front Royal,VA,22630,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,STAUNTON,INITIAL HEARING,9/30/2006,6/29/2007,8/10/2007,7, $ 500.00 ,,,,,
886,SOUL MOUNTAIN RESTAURANT (MB),44832,300 E Main St,Front Royal,VA,22630,KEPT UNAUTHORIZED AB; FAILED TO OBLITERATE MB STAMPS; KEPT AB AT THE ESTABLISHMENT THAT WAS NOT AUTHORIZED TO SELL UNDER THE LICENSE ISSUED BY THE BOARD,3,N,STAUNTON,CONSENT SETTLEMENT,2/12/2008,,04/16/08,7," $ 1,500.00 ",,,,,
984,FOOD LION 1059,9805,260 Remount Rd,Front Royal,VA,22630,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,3/13/2008,,05/15/08,25," $ 2,000.00 ",,,,,
978,ROYAL VILLAGE TAVERN,9374,654 W 11th St,Front Royal,VA,22630,SOLD TO UAB,1,Y,STAUNTON,BOARD APPEAL HEARING,10/12/2007,2/6/2008,05/30/08,25," $ 2,500.00 ",,,,,
103,SKYLINE CAFÉ & LOUNGE,46759,915 N Royal Ave,Front Royal,VA,226300985,APPLICATION OBJECTIONS: PEACE & GOOD ORDER,1,N,STAUNTON,INITIAL HEARING,6/4/2007,9/7/2007,10/17/2007,,,,,,,APPLICATION-LICENSE GRANTED
779,CIVIL CRICKET,44317,7868 Main St,Middletown,VA,22645,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,03/20/08,25," $ 2,000.00 ",,,,,
861,THE IRISH ISLE RESTAURANT,28647,7843 Main St,Middletown,VA,22645,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/9/2008,,04/08/08,25," $ 2,000.00 ",,,,,
536,M STREET DELI & LOUNGE,48411,131 149 N Massanutten St,Strasburg,VA,22657,ALLOWED CONSUMPTION OF AB BY AN INTOXICATED PERSON,1,N,STAUNTON,INITIAL HEARING,8/11/2007,11/27/2007,1/9/2008,15," $ 1,500.00 ",,,,,
633,RANCHO VIEJO MEXICAN GRILL,47663,19 Signal Knob Dr,Strasburg,VA,22657,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,12/14/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
171,BAKER'S STORE,41765,12363 Back Rd,Toms Brook,VA,22660,SOLD TO UAB,1,Y,STAUNTON,INITIAL HEARING,1/11/2007,6/1/2007,7/13/2007,60," $ 2,500.00 ",30,,,,
178,GAIL'S GENERAL STORE,43429,18880 Old Valley Pike,Woodstock,VA,22664,SOLD TO UAB,1,N,STAUNTON,INITIAL HEARING,12/20/2006,8/7/2007,8/8/2007,25," $ 1,500.00 ",,,,,
1047,WOODSTOCK CAFÉ AND SHOPPES,38526,117 S Main St,Woodstock,VA,22664,SOLD TO UAB,1,N,STAUNTON,OFFER IN COMPROMISE,3/27/2008,6/4/2008,06/18/08,," $ 1,500.00 ",,,,,
817,TARGET STORE T 2250,46360,15341 Mantunus Dr,Culpeper,VA,22701,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,2/6/2008,,03/26/08,25," $ 2,000.00 ",,,,,
