RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,
64,BJs WHOLESALE CLUB 33,77809,13053 FAIR LAKES SHOPPING CENTER,FAIRFAX,VA,22033,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/30/2011,N,7/7/2011,,,8/1/2011,," $ 2,000.00 ",,,,,,,
145,LA TOLTECA RESTAURANT,6636,5614 OX ROAD,FAIRFAX STATION,VA,22039,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING MAY 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/31/2011,N,9/6/2011,,,10/11/2011,, $ 500.00 ,,,,,,,
432,TENADAM INTERNATIONAL MARKET,35330,3817 S. GEORGE MASON DR,FALLS CHURCH,VA,22041,KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES LICENSEE NOT AUTHORIZED TO SELL; ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES EXCEPT AS PROVIDED UNDER THE ABC ACT,2,Y,ALEXANDRIA,INITIAL HEARING,7/16/2011,N,8/4/2011,10/27/2011,12/14/2011,1/26/2012,30," $ 4,000.00 ",20,,,,,,
490,KEBERICHO DELI MARKET AND BUTCHER SHOP,59736,3811C S GEORGE MASON DR,FALLS CHURCH,VA,22041,LICENSEE PERMITTED UNAUTHORIZED PERSON TO BE IN CHARGE OF THE BUSINESS AND FAILED TO KEEPHER NAME POSTED; ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT X2,3,N,ALEXANDRIA,INITIAL HEARING,7/15/2011,N,11/15/2011,12/14/2011,1/31/2012,3/9/2012,10," $ 2,500.00 ",,,,,,,
130,MIU KEE RESTAURANT,5574,6653 ARLINGTON BLVD,FALLS CHURCH,VA,22042,UAB; LICENSEE FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,Y,ALEXANDRIA,INITIAL HEARING,5/17/2011,N,6/1/2011,7/21/2011,8/19/2011,9/28/2011,25," $ 2,000.00 ",,6,,,,,
286,EL TUTUMASO TS,65879,3018 ANNANDALE RD,FALLS CHURCH,VA,22042,KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES LICENSEE NOT AUTHORIZED TO SELL x2; SOLD ALCOHOLIC BEVERAGES FOR CONSUMPTION BETWEEN HOURS OF 2:00 AM AND 6:00 AM; FAILED TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,4,N,ALEXANDRIA,INITIAL HEARING,3/29/2011,Y,5/26/2011,9/14/2011,11/8/2011,12/9/2011,7," $ 1,500.00 ",,,,Y,CHARGE 3 DISMISSED,,
564,NEW SEASON RESTAURANT,65029,7279 ARLINGTON BLVD,FALLS CHURCH,VA,22042,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,10/31/2011,N,1/23/2012,2/15/2012,3/27/2012,5/1/2012,7, $ 500.00 ,,,,,,,
641,7 ELEVEN STORE 2581 107060B,68693,7461 LEE HWY,FALLS CHURCH,VA,22042,PERMITTED RABIA BEGUM TO BE IN CHARGE AND FAILED TO KEEP HER NAME POSTED; FAILED TO HAVE DESIGNATED MANAGER PRESENT; FAILED TO KEEP COMPLETE AND ACCURATE RECORD,3,N,ALEXANDRIA,INITIAL HEARING,1/18/2012,N,2/8/2012,3/19/2012,5/4/2012,6/19/2012,,,,,,Y,"CHG 1, 3 DISMISSED; CHG 2 NO PENALTY IMPOSED",,
12,VIET BISTRO RESTAURANT,51460,6799 WILSON BLVD,FALLS CHRUCH,VA,22044,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,11/30/2010,N,3/25/2011,5/9/2011,6/7/2011,7/13/2011,7, $ 750.00 ,,,,,,,
78,TAY DO RESTAURANT,42711,6793C WILSON BLVD,FALLS CHRUCH,VA,22044,LICENSEE FAILED TO OBLITERATE MB STAMPS WHEN CONTAINERS WERE EMPTIED,1,N,ALEXANDRIA,INITIAL HEARING,4/15/2011,N,4/26/2011,6/15/2011,6/30/2011,8/3/2011,30,,,,,,,,
106,QUAN HAI LUA RESTAURANT,31876,"6795 WILSON BLVD, STE 19",FALLS CHURCH,VA,22044,DOES NOT CONFORM TO REQUIREMENTS OF CITY OF FALLS CHURCH X2,2,N,ALEXANDRIA,INITIAL HEARING,4/14/2011,Y,4/27/2011,6/24/2011,8/8/2011,9/13/2011,,,,,,Y,CHG 1 DISMISSED; CHG 2 WITHDRAWN,,
111,V3 NGON RESTAURANT,26854,6763 WILSON BLVD,FALLS CHURCH,VA,22044,LICENSEE CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY SUFFICIENT TO MEET REQUIREMENTS OF BUSINESS CONDUCTED,1,N,ALEXANDRIA,INITIAL HEARING,3/21/2010,Y,4/21/2011,7/20/2011,8/11/2011,9/15/2011,,,,,,,REDUCED TO WRITTEN WARNING,,
131,TAY DO RESTAURANT,42711,6793C WILSON BLVD,FALLS CHURCH,VA,22044,FAILED TO OBLITERATE THE MIXED BEVERAGE STAMPS IMMEDIATELY WHEN CONTAINERS WERE OF ALCOHOLIC BEVERAGES WERE EMPTIED,1,Y,ALEXANDRIA,APPEAL HEARING,4/15/2011,N,4/26/2011,6/15/2011,6/30/2011,9/29/2011,30,,,,,,,,
133,TAY DO RESTAURANT,42711,6793C WILSON BLVD,FALLS CHURCH,VA,22044,"FINANCIAL RESPONSIBILITY, LICENSEE FAILED TO REPORT TO THE BOARD CHANGES IN THE OFFICERS, DIRECTORS OR SHAREHOLDERS",2,Y,ALEXANDRIA,APPEAL HEARING,12/31/2011,Y,12/29/2010,2/3/2011,3/10/2011,9/29/2011,45," $ 1,500.00 ",15,,,,,,
137,HAI KY MI GIA,63096,"6757 WILSON BLVD, STE 24",FALLS CHURCH,VA,22044,LICENSEE PERMITTED AN INDIVIDUAL TO BE IN CHARGE OF THE BUSINESS BEING CONDUCTED UNDER THE LICENSE AND FAILED TO KEEP THEIR NAME POSTED; LICENSEE FAILED TO HAVE A DESIGNATED MANAGER PRESENT AND IN ACUTUAL CHARGE OF THE BUSINESS; LICENSEE FAILED OR REFUSED TOCOMPLY WITH A CONDITION OR RESTRICTION OF THE LICENSE; FAILED TO OBLITERATE MB STAMPS; KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES LICENSEE WAS NOT AUTHORIZED TO SELL,5,N,ALEXANDRIA,INITIAL HEARING,4/11/2011,N,5/9/2011,6/15/2011,8/15/2011,9/30/2011,7," $ 2,500.00 ",,,,,,,
193,BAY LO RESTAURANT,7504,"6757 WILSON BOULEVARD, SUITE 21",FALLS CHURCH,VA,22044,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/11/2011,N,9/6/2011,,,11/4/2011,, $ 500.00 ,,,,,,,
398,BO 7 MON ANH HONG,42711,6793C WILSON BLVD,FALLS CHURCH,VA,22044,FAILED TO TIMELY SUBMIT MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,6/30/2011,N,9/16/2011,10/25/2011,11/30/2011,1/18/2012,,,,,Y,,,,
400,PHO XE LUA THANH THANH RESTAURANT,55228,6765A WILSON BLVD. SUITE 23,FALLS CHURCH,VA,22044,UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/17/2011,N,9/23/2011,10/27/2011,11/30/2011,1/18/2012,25," $ 2,000.00 ",,,,,,,
481,NEW MOON RESTAURANT,46862,6621 WILSON BLVD.,FALLS CHURCH,VA,22044,LICENSEE PERMITTED CONSUMPTION OF ALCOHOLIC BEVERAGES ON PREMIESES BETWEEN 2:00 AM & 6:00 AM,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/29/2012,N,2/8/2012,,,3/7/2012,," $ 1,000.00 ",,,,,,,
487,HAI KY MI GIA,63096,"6757 WILSON BLVD, STE 24",FALLS CHURCH,VA,22044,FAIL TO TIMELY SUBMIT MBAR,1,N,ALEXANDRIA,INITIAL HEARING,7/31/2011,N,10/27/2011,12/15/2011,1/31/2012,3/9/2012,7, $ 500.00 ,,,,,,,
567,PISTONES ITALIAN INN,24830,6320 ARLINGTON BLVD,FALLS CHURCH,VA,22044,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,7/31/2011,N,1/6/2012,2/16/2012,3/29/2012,5/1/2012,,,,,,,NO PENALTY IMPOSED,,
585,V3 NGON RESTAURANT,26854,6763 WILSON BLVD,FALLS CHURCH,VA,22044,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY; SOLD ALCOHOLIC BEVERAGE BETWEEN 2 AM AND 6 AM; PERMITTED CONSUMPTION OF ALCOHOLIC BEVERAGES BETWEEN 2 AM AND 6 AM,3,Y,ALEXANDRIA,INITIAL HEARING,1/1/2012,N,2/13/2012,2/28/2012,4/13/2012,5/16/2012,7," $ 1,000.00 ",,,,,,,
632,HAI KY MI GIA,63096,"6757 WILSON BLVD, STE 24",FALLS CHURCH,VA,22044,PURCHASED ALCOHOLIC BEVERAGES EXCEPT FOR CASH,1,N,ALEXANDRIA,INITIAL HEARING,1/30/2012,N,2/9/2012,3/20/2012,5/10/2012,6/13/2012,7, $ 250.00 ,,,,,,,
640,CAFÉ METRO,51886,"6795 WILSON BLVD, STE E",FALLS CHURCH,VA,22044,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,12/31/2011,N,2/29/2012,3/20/2012,5/14/2012,6/19/2012,10," $ 1,000.00 ",,,,,,,
9,LA CARAQUENA RESTAURANT,48992,300 W BROAD STREET,FALLS CHRUCH,VA,22046,LICENSEE KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES WHICH HE WAS UNAUTHORIZED TO SELL. ,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,5/27/2011,N,6/7/2011,,,7/11/2011,," $ 1,000.00 ",,,,,,,
94,BANGKOK BLUES,8997,"926 W BROAD ST, STE 2A",FALL CHURCH,VA,22046,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,12/3/2010,N,12/15/2010,2/10/2011,3/23/2011,8/25/2011,7, $ 500.00 ,,,,,,,
136,ARGIAS ITALIAN RESTAURANT,8193,124 N WASHINGTON ST,FALLS CHURCH,VA,22046,UAB,1,N,ALEXANDRIA,INITIAL HEARING,5/17/2011,N,5/31/2011,7/21/2011,8/26/2011,9/30/2011,25," $ 2,000.00 ",,,,,,,
584,SFIZI CAFÉ,66283,800 WEST BROAD STREET,FALLS CHURCH,VA,22046,"FAILED TO OBLITERATE THE MIXED BEVERAGE STAMPS IMMEDIATELY WHEN CONTAINERS  OF ALCOHOLIC BEVERAGES WERE EMPTIED; KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES THAT THE LICENSEE WAS NOT AUTHORIZED TO SELL; PURCHASED WINE OR BEER FOR RESALE FROM A PERSON OTHER THAN A MANUFACTURER, BOTTLER, OR WHOLESALER LICENSED IN THIS COMMONWEALTH",3,N,ALEXANDRIA,APPEAL HEARING,9/29/2011,N,11/18/2011,1/19/2012,3/8/2012,5/17/2012,, $ 500.00 ,,,,Y,,,
445,MAMAS PIZZA AND SUBS,58833,5028 PLANK ROAD,FREDERICKSBURG,VA,22047,UAB,1,N,RICHMOND,OFFER IN COMPROMISE,10/25/2011,Y,11/3/2011,,,2/3/2012,10,,,,,,,,
76,TOKYO ONE,43288,9443 LORTON MARKET ST,LORTON,VA,22079,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING NOVEMBER 30, 2010",1,N,ALEXANDRIA,INITIAL HEARING,11/30/2011,N,4/18/2011,6/17/2011,6/30/2011,8/3/2011,7, $ 500.00 ,,,,,,,
89,LAS COLINAS RESTAURANT,50194,7718 GUNSTON PLAZA,LORTON,VA,22079,"LICENSEE SOLD UNAUTHORIZED ALCHOLIC BEVERAGES; LICENSEE FILED TO HAVE A DE4SIGNATED MANAGER PRESENT & IN CHARGE; LICENSEE FILED TO KEEP COMPLETE, ACCURANTE & SEPARATE RECORDS AT THE PLACE OF BUSINESS.",3,N,ALEXANDRIA,CONSENT SETTLEMENT,5/11/2011,N,5/26/2011,,,8/16/2011,," $ 1,500.00 ",,,,,,,
312,DE ROSA IMPORTS INC,65640,"7409 LOCKPORT PL, STE A1",LORTON,VA,22079,FRANCO DE ROSA HAS DEMONSTRATED BY HIS RECORD AS A FORMER LICENSEE OF THE BOARD A LACK OF RESPECT FOR LAW AND ORDER,1,N,ALEXANDRIA,INITIAL HEARING,9/15/2011,N,9/16/2011,10/25/2011,11/10/2011,12/15/2011,,,,,,,APPLICATION - GRANTED,,
313,DE ROSA IMPORTS INC,64641,"7409 LOCKPORT PL, STE A1",LORTON,VA,22079,FRANCO DE ROSA HAS DEMONSTRATED BY HIS RECORD AS A FORMER LICENSEE OF THE BOARD A LACK OF RESPECT FOR LAW AND ORDER,1,N,ALEXANDRIA,INITIAL HEARING,9/15/2011,N,9/16/2011,10/25/2011,11/10/2011,12/15/2011,,,,,,,APPLICATION - GRANTED,,
127,STARNUT GOURMET,42637,"1445 LAUGHLIN AVE, STE 100",MCLEAN,VA,22101,UAB,1,N,ALEXANDRIA,INITIAL HEARING,4/5/2011,N,6/8/2011,7/21/2011,8/19/2011,9/28/2011,15," $ 1,500.00 ",,,,,,,
532,PASA THAI CUISINE,40495,1315 OLD CHAIN BRIDGE ROAD,MCLEAN,VA,22101,LICENSEE ISSUED A CHECK WHICH WAS DISHONORED UPON PRESENTATION TO THE BANK,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/15/2012,N,4/3/2012,,,4/10/2012,, $ 250.00 ,,,,,,,
138,NM CAFÉ,50105,2255 INTERNATIONAL DR,MCLEAN,VA,22102,UAB,1,N,ALEXANDRIA,INITIAL HEARING,4/5/2011,Y,4/26/2011,7/21/2011,8/26/2011,9/30/2011,,,,,,Y,,,
176,FLIK INTERNATIONAL CORP,56465,1710 SAIC DR,MCLEAN,VA,22102,"LICENSEE FAILED TO SUBMIT TO THE BOARD A COMPLETE AND ACCURATE ANNUAL REVIEW REPORT FOR THE YEAR ENDING FEB 28, 2011",1,Y,ALEXANDRIA,INITIAL HEARING,2/28/2011,Y,5/26/2011,8/16/2011,9/21/2011,10/26/2011,,,,,,Y,,,
465,DAILY GRILL,965,2001 INTERNATIONAL DRIVE,MCLEAN,VA,22102,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING OCTOBER 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/31/2011,N,1/20/2012,,,2/16/2012,, $ 500.00 ,,,,,,,
427,R & R CATERING,74830,8004 ALBAN RAOD STE A,SPRINGFIELD,VA,22150,FAILURE TO KEEP LICENSE POSTED; KEPT ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL; FAILURE TO KEEP MANAGERS NAME POSTED; FAILED TO COMPLY WITH RESTRICTION OR CONDITION OF LICENSE; FAILURE TO KEEP MANAGERS NAME POSTED.,5,N,ALEXANDRIA,INITIAL HEARING,5/7/2011,N,9/6/2011,10/6/2011,12/15/2011,1/24/2012,7," $ 1,000.00 ",,,,Y,"CHARGES 3,4,5 DISMISSED",,
575,5 T RESTAURANT,40102,7052 SPRING GARDEN DR,SPRINGFIELD,VA,22150,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,8/31/2011,N,1/11/2012,2/16/2012,4/4/2012,5/8/2012,,,,,,Y,,,
279,COSTCO WHOLESALE 227,13751,7373 BOSTON BOULEVARD,SPRINGFIELD,VA,22153,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/12/2011,N,11/3/2011,,,12/8/2011,," $ 2,000.00 ",,,,,,,
527,HUNAN TASTE RESTAURANT,38873,8088 ROLLING ROAD,SPRINGFIELD,VA,22153,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/12/2012,N,3/19/2012,,,4/5/2012,25,,,,,,,,
638,KANJANA THAI CUISINE,66868,8064 ROLLING RD,SPRINGFIELD,VA,22153,FAILED TO TIMELY SUBMIT MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,11/30/2011,N,2/22/2012,3/19/2012,5/14/2012,6/19/2012,,,,,,,NO PENALTYIMPOSED,,
449,COURTYARD BY MARRIOTT VIENNA,50941,2722 GALLOWS ROAD,VIENNA,VA,22180,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/14/2011,N,1/17/2012,,,2/7/2012,," $ 2,000.00 ",,,,,,,
530,MARRIOTT TYSONS CORNER,39273,8028 LEESBURG PIKE,VIENNA,VA,22182,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING DECEMBER 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2011,N,3/20/2012,,,4/10/2012,, $ 500.00 ,,,,,,,
49,SUPER Q MART,54891,16593 RIVER RIDGE BLVD,WOODBRIDGE,VA,22191,UAB,1,N,ALEXANDRIA,INITIAL HEARING,4/26/2011,N,5/13/2011,6/16/2011,6/24/2011,7/27/2011,30," $ 3,000.00 ",10,,,,,,
57,SAFEWAY STORE 1270,53114,2042 DANIEL STUART SQ,WOODBRIDGE,VA,22191,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/26/2011,Y,5/6/2011,,,7/29/2011,," $ 5,000.00 ",,,,,,,
422,WATERS EDGE RESTAURANT,55169,13188 MARINA WAY,WOODBRIDGE,VA,22191,FINANCIAL RESPONSIBILITY  X 2,2,Y,ALEXANDRIA,APPEAL HEARING,6/7/2011,Y,6/14/2011,9/14/2011,10/17/2011,1/24/2012,," $ 1,000.00 ",,12,,,,,
484,TIPICOS DONA JUANITA,46260,13199 OCCUQUAN RD,WOODBRIDGE,VA,22191,LICENSEE IS NOT THE LEGITIMATE OWNER,1,N,ALEXANDRIA,INITIAL HEARING,7/20/2011,N,11/4/2011,12/15/2011,1/31/2012,3/9/2012,7, $ 500.00 ,,,,,,,
568,DON ALBERTO CHARCOAL CHICKEN,24074,14455 JEFFERSON DAVIS HWY STE 2,WOODBRIDGE,VA,22191,"FAIL TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS",1,Y,ALEXANDRIA,INITIAL HEARING,12/5/2011,N,1/11/2012,2/15/2012,3/29/2012,5/1/2012,7, $ 500.00 ,,,,,,,
37,WAWA FOOD MARKET #661,5150,13355MINNIEVILLE ROAD,WOODBRIDGE,VA,22192,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,6/18/2011,N,6/23/2011,,,7/25/2011,," $ 2,000.00 ",,,,,,,
74,CHARBROIL GRILL,12718,14239 POTOMAC MILLS RD,WOODBRIDGE,VA,22192,LICENSEE KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES WHICH HE WASD UNAUTHORIZED TO SELL. ,1,N,ALEXANDRIA,INITIAL HEARING,4/20/2011,N,5/4/2011,6/17/2011,7/1/2011,8/3/2011,10," $ 1,500.00 ",,,,,,,
108,MORGANS SPORTS BAR & LOUNGE,64823,3081 GOLANSKY BLVD,WOODBRIDGE,VA,22192,LICENSEE ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES UPON THE PREMISES BY AN INTOXICATED PERSON,1,N,ALEXANDRIA,INITIAL HEARING,4/23/2011,N,5/23/2011,7/19/2011,8/8/2011,9/13/2011,25," $ 2,000.00 ",,,,,,,
348,POTOMAC MILLS MOBIL,47866,14496GIDEON DRIVE,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/28/2011,N,12/2/2011,,,1/3/2012,25,,,,,,,,
351,BELMONT BAY SHELL FOOD MART,47625,12871 GORDON BLVD.,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/13/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,,,
373,HUNAN GARDEN RESTAURANT,24014,"12437 HEDGES RUN DRIVE, SUITE 8",LAKE RIDGE,VA,22192,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,11/13/2011,N,12/9/2011,,,1/9/2012,25,,,,,,,,
447,BAJA BISTRO,56176,"2700 POTOMAC MILLS CIRCLE, SUITE 425",WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/28/2011,N,12/2/2011,,,2/7/2012,25,,,,,,,,
597,BISTRO L HERMITAGE,47833,12724 OCCOQUAN RD,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,INITIAL HEARING,11/13/2011,N,1/11/2012,3/1/2012,4/24/2012,5/29/2012,15," $ 1,500.00 ",,,,,,,
577,7 ELEVEN STORE 32965 B,61920,7001 DALE BOULEVARD,DALE CITY,VA,22193,UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,10/30/2011,N,11/17/2011,1/20/2012,3/7/2012,5/16/2012,," $ 5,000.00 ",,,,,,,
18,MISTER DAYS SPORTS ROCK CAFÉ,7881,3100 CLARENDON BLVD,ARLINGTON,VA,22201,KEPT AT THE PLACE DESCRIBED IN LICENSE ALCOHOLIC BEVERAGES WHICH THE LICENSEE WAS NOT AUTHORIZED TO SELL AND KEEP,1,N,ALEXANDRIA,APPEAL HEARING,11/24/2010,N,12/15/2010,2/9/2011,3/17/2011,7/18/2011,," $ 1,500.00 ",,,,,,,
24,MAD ROSE TAVERN,66281,3100 CLAREDON BOULEVARD,ARLINGTON,VA,22201,LICENSEE ADVERTISED ABOUT OR CONCERNING HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/7/2011,N,6/16/2011,,,7/19/2011,, $ 500.00 ,,,,,,,
86,HUNAN NUMBER ONE RESTAURANT,44606,333 WILSON BLVD,ARLINGTON,VA,22201,LICENSEE KEPT AT THE PLACE DESCRIBED IN THE LICENSE ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL AND KEEUP,1,N,ALEXANDRIA,INITIAL HEARING,4/29/2011,N,5/12/2011,6/16/2011,8/2/2011,8/17/2011,,,,,,Y,,,
170,HARD TIMES CAFÉ CLARENDON,56282,3028 WILSON BOULEVARD,ARLINGTON,VA,22201,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2011,N,9/30/2011,,,10/25/2011,," $ 2,000.00 ",,,,,,,
180,COSTA VERDE RESTAURANT,73302,946 N JACKSON ST,ARLINGTON,VA,22201,LICENSEE ADVERTISED ABOUT OR CONCERNING HAPPY HOUR,1,N,ALEXANDRIA,INITIAL HEARING,6/7/2011,N,6/20/2011,8/19/2011,9/21/2011,10/26/2011,7, $ 750.00 ,,,,,,,
194,TOSCANA GRILL,12052,2300 CLARENDON BOULEVARD,ARLINGTON,VA,22201,"LICENSEE FAILED TO SUBMIT TO THE BOARD A COMPLETE AND ACCURATE ANNUAL REVIEW REPORT FOR THE YEAR ENDING MARCH 31, 2011.",1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/31/2011,N,8/2/2011,,,11/4/2011,, $ 500.00 ,,,,,,,
319,BGR THE BURGER JOINT,66633,3024 WILSON BLVD,ARLINGTON,VA,22201,"CHARACTERISTICS OF THE FOOD BUSINESS UPON THE PREMISES ARE SUCH THAT THE ESTABLISHMENT FAILS TO QUALIFY AS A ""RESTAURANT""",1,N,ALEXANDRIA,INITIAL HEARING,4/28/2011,N,4/29/2011,10/7/2011,11/10/2011,12/15/2011,,,,,,,APPLICATION - GRANTED,,
552,JAYS SALOON & GRILL,59846,3114 10TH STREET N,ARLINGTON,VA,22201,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING OCTOBER 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/31/2011,N,3/19/2012,,,4/24/2012,, $ 500.00 ,,,,,,,
553,EVENTIDE RESTAURANT,52959,3165 WILSON BOULEVARD,ARLINGTON,VA,22201,ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES ON PREMISES BY AN INTOXICATED PERSON,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/18/2012,N,3/28/2012,,,4/24/2012,," $ 2,000.00 ",,,,,,,
642,MAD ROSE TAVERN,66281,3100 CLARENDON BLVD,ARLINGTON,VA,22201,ADVERTISED ABOUT OR CONCERNING HAPPY HOUR,1,Y,ALEXANDRIA,INITIAL HEARING,1/26/2012,N,2/8/2012,3/19/2012,5/14/2012,6/19/2012,,,,,,Y,DISMISSED,,
80,HEATHER MARKET,68475,801 15TH ST S,ARLINGTON,VA,22202,ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT,1,N,ALEXANDRIA,INITIAL HEARING,4/26/2011,N,5/2/2011,6/16/2011,6/28/2011,8/3/2011,,,,,,,APPLICATION - GRANTED,,
184,HARRIS TEETER #262,48467,3800 S GLEBE ROAD,ARLINGTON,VA,22202,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2011,N,9/30/2011,,,10/27/2011,," $ 2,000.00 ",,,,,,,
559,CHEVYS FRESH MEX,38104,"1201 S HAYES ST, LOBBY 1",ARLINGTON,VA,22202,LICNSEE FAILED TO KEEP LICENSE POSTED IN A CONSPICIOUS PLACE UPON LICENSED PREMISES,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/16/2012,N,3/30/2012,,,4/30/2012,, $ 500.00 ,,,,,,,
668,HARRYS TAP ROOM,54609,"1100 S. HAYES STREET, STE C01",ARLINGTON,VA,22202,FAILURE TO TIMELY SUBMIT MIXED BEVERAGE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER IN COMPROMISE,10/31/2011,Y,2/27/2012,,,6/29/2012,,$500.00,,,,,,,
110,UNION JACKS,53253,4238 WILSON BLVD,ARLINGTON,VA,22203,ADVERTISED HAPPY HOUR CONTRARY TO RULES AND REGULATIONS,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2011,N,3/30/2011,6/22/2011,8/2/2011,9/13/2011,,,,,,Y,,,
175,WESTIN ARLINGTON,41588,801 N GLEBE RD,ARLINGTON,VA,22203,LICENSEE ALLOWED THE CONSUMPTION OF ALCHOLIC BEVERAGES UPON THE LICENSED PREMISES BY A PERSON LESS THAN 21 YEARS OF AGE,1,N,ALEXANDRIA,INITIAL HEARING,5/10/2011,N,6/13/2011,8/16/2011,9/21/2011,10/26/2011,,,,,,Y,,,
314,THE FRONT PAGE RESTAURANT,27072,4201 WILSON BLVD,ARLINGTON,VA,22203,ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES BY AN EMPLOYEE WHILE ON DUTY,1,N,ALEXANDRIA,INITIAL HEARING,8/21/2011,N,8/26/2011,10/7/2011,11/10/2011,12/15/2011,7, $ 500.00 ,,,,,,,
