Name,Description
Clifton Forge Reservoir,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Alleghany</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Clifton Forge Reservoir</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Braley Pond,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Braley Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Hearthstone Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Hearthstone Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Elkhorn Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Elkhorn Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Upper Sherando Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Upper Sherando Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Lower Sherando Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Augusta</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lower Sherando Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Douthat Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Bath</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Douthat Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>FF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>FF</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
EF Little Reed Island Creek,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Carroll</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>EF Little Reed Island Creek</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>Single bridge stocking location.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Gullion Fork Ponds,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Wythe</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Gullion Fork Ponds</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Gullion Fork Ponds,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Wythe</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Gullion Fork Ponds</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Rural Retreat Pond,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Wythe</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Rural Retreat Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Pandapas Pond,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Montgomery</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Pandapas Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Lake Moomaw,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Bath</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lake Moomaw</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>2 Fish 16"".</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Skidmore Reservoir,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Skidmore Reservoir</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>10"" Minimum.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Lake Tams,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Staunton City</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lake Tams</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
South Holston Reservoir,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Washington</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>South Holston Reservoir</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>7 per day limit.  2 Lake Trout maximum. No minimum size.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>SR</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Ivy Creek Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Lynchburg</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Ivy Creek Park</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
