Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,,,,,,
11705,"LaCrosse Vol. Fire Dept., Inc.",Mecklenburg Co.,2006,82,0,79,161,12,12
11706,"Palmer Springs Vol. Fire Dept., Inc.",Mecklenburg Co.,2006,28,0,16,44,12,12
11707,South Hill Vol. Fire Dept.,Mecklenburg Co.,2006,379,0,37,416,12,12
11708,Lake Gaston Vol. Fire Dept.,Mecklenburg Co.,2006,44,0,10,54,12,12
,Mecklenburg Co.,8,,"1,085",0,284,"1,369",,
11901,Hartfield VFD,Middlesex Co.,2006,74,0,0,74,12,12
11902,Lower Middlesex VFD,Middlesex Co.,2006,27,0,0,27,11,11
11903,Middlesex Vol. Fire Dept.,Middlesex Co.,2006,75,1,1,77,9,9
,Middlesex Co.,3,,176,1,1,178,,
12102,Blacksburg Vol. Fire Dept.,Montgomery Co.,2006,817,0,3,820,9,9
12103,Christiansburg Vol. Fire Dept.,Montgomery Co.,2006,784,0,5,789,12,12
12104,Elliston Vol. Fire Dept.,Montgomery Co.,2006,220,0,64,284,12,12
12106,Riner Vol. Fire Dept.,Montgomery Co.,2006,104,0,12,116,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 19 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Montgomery Co.,4,,"1,925",0,84,"2,009",,
12501,Lovingston Vol. Fire Dept.,Nelson Co.,2006,146,0,47,193,12,12
12503,Faber Vol. Fire Dept.,Nelson Co.,2006,77,0,18,95,12,12
12504,Gladstone Vol. Fire Dept.,Nelson Co.,2006,53,0,10,63,12,12
12505,Rockfish Valley Vol Fire Dept.,Nelson Co.,2006,146,0,5,151,12,12
12506,Wintergreen Vol. Fire Dept.,Nelson Co.,2006,103,0,19,122,6,6
12507,Montebello Vol. Fire Dept.,Nelson Co.,2006,13,0,0,13,7,10
,Nelson Co.,6,,538,0,99,637,,
12700,New Kent Co. Fire & Rescue,New Kent,2006,26,0,0,26,1,1
12702,Quinton Vol. Fire & EMS,New Kent Co.,2006,598,0,190,788,12,12
,New Kent,2,,624,0,190,814,,
13113,"Community Fire Company, Inc.",Northampton Co.,2006,900,0,29,929,12,12
13115,Cape Charles Vol. Fire Dept.,Northampton Co.,2006,20,0,34,54,12,12
13116,"Northampton Fire & Res., Inc.",Northampton Co.,2006,88,0,39,127,12,12
13117,"Eastville Vol. Fire Co., Inc.",Northampton Co.,2006,61,0,82,143,12,12
,Northampton Co.,4,,"1,069",0,184,"1,253",,
As of 04/18/2007,,,,,,,,,Page 20 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
13302,Callao Vol. Fire Dept.,Northumberland Co.,2006,88,0,17,105,12,12
,Northumberland Co.,1,,88,0,17,105,,
13502,Burkeville Vol. Fire Dept.,Nottoway Co.,2006,318,0,67,385,12,12
13503,Crewe Vol. Fire Dept.,Nottoway Co.,2006,116,0,51,167,12,12
13504,Blackstone Vol. Fire Dept.,Nottoway Co.,2006,189,0,1,190,8,8
,Nottoway Co.,3,,623,0,119,742,,
13700,County of Orange Fire & EMS,Orange Co,2006,"2,311",0,109,"2,420",12,12
13703,Lake of the Woods VFD,Orange Co.,2006,445,0,56,501,12,12
13705,Orange Vol. Fire Dept.,Orange Co.,2006,528,0,134,662,12,12
,Orange Co,3,,"3,284",0,299,"3,583",,
13901,Luray Vol. Fire Dept.,Page Co.,2006,553,0,2,555,12,12
13902,"Shenandoah Vol. Fire Co., Inc.",Page Co.,2006,130,2,45,177,12,12
13903,Stanley Vol. Fire Dept.,Page Co.,2006,245,0,12,257,12,12
,Page Co.,3,,928,2,59,989,,
14101,Ararat Vol Fire Dept.,Patrick Co.,2006,102,0,23,125,12,12
14102,CCDF Vol. Fire Dept.,Patrick Co.,2006,51,0,13,64,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 21 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14104,Meadows of Dan Vol. Fire Dept,Patrick Co.,2006,47,0,11,58,12,12
14105,Moorefield Store Vol. Fire Dept.,Patrick Co.,2006,82,0,11,93,12,13
14106,Stuart Vol. Fire Dept.,Patrick Co.,2006,105,0,20,125,12,12
14107,Patrick-Henry Vol. Fire Dept.,Patrick Co.,2006,475,0,18,493,12,12
14108,Woolwine Vol. Fire Dept.,Patrick Co.,2006,71,0,7,78,12,12
14109,Fairystone Vol. Fire Dept.,Patrick Co.,2006,49,0,4,53,12,12
14110,Patrick Spring Vol. Fire Dept.,Patrick Co.,2006,84,0,11,95,12,12
,Patrick Co.,9,,"1,066",0,118,"1,184",,
14301,Riceville-Java VFD,Pittsylvania Co.,2006,50,0,14,64,12,12
14302,Hurt Vol. Fire Dept.,Pittsylvania Co.,2006,171,0,20,191,12,12
14303,Renan VFD,Pittsylvania Co.,2006,55,0,19,74,12,12
14305,Tunstall Vol. Fire & Rescue,Pittsylvania Co.,2006,506,1,73,580,12,12
14306,Mount Hermon Vol. Fire Dept.,Pittsylvania Co.,2006,292,0,51,343,12,12
14307,Mount Cross Vol. Fire Dept.,Pittsylvania Co.,2006,208,0,8,216,12,12
14308,Climax Vol. Fire Dept.,Pittsylvania Co.,2006,128,0,23,151,12,12
14309,Ringgold VFD,Pittsylvania Co.,2006,555,0,97,652,12,12
14310,Bachelor Hall Vol Fire Dept.,Pittsylvania Co.,2006,83,0,43,126,12,12
14311,Chatham Vol Fire Dept.,Pittsylvania Co.,2006,260,1,34,295,12,12
14312,Gretna Vol Fire Dept.,Pittsylvania Co.,2006,215,0,44,259,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 22 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14313,Brosville Vol. Fire Dept.,Pittsylvania Co.,2006,563,0,88,651,12,12
14314,Cool Branch Vol. Fire Dept.,Pittsylvania Co.,2006,83,0,9,92,12,12
14315,Blairs Vol. Fire Dept.,Pittsylvania Co.,2006,715,0,118,833,12,12
14316,Callands Vol. Fire & Rescue Dept.,Pittsylvania Co.,2006,81,0,11,92,12,12
14317,Dry Fork Vol. Fire Dept.,Pittsylvania Co.,2006,195,0,26,221,12,12
14318,Cascade Vol. Fire Dept.,Pittsylvania Co.,2006,115,0,25,140,12,12
14319,Kentuck Vol. Fire Dept.,Pittsylvania Co.,2006,168,0,35,203,12,12
14320,Keeling Vol. Fire Dept.,Pittsylvania Co.,2006,58,0,6,64,8,8
14321,Laurel Grove Vol. Fire Dept.,Pittsylvania Co.,2006,275,0,15,290,12,12
,Pittsylvania Co.,20,,"4,776",2,759,"5,537",,
14501,Powhatan Co. Vol. Fire Dept.,Powhatan Co.,2006,393,4,88,485,12,12
14502,Huguenot Vol. Fire Dept.,Powhatan Co.,2006,139,1,31,171,11,11
14503,Macon Fire Dept.,Powhatan Co.,2006,46,0,18,64,11,11
14504,Fine Creek Vol. Fire Dept.,Powhatan Co.,2006,330,0,36,366,12,12
14505,Deep Creek Vol. Fire Dept.,Powhatan Co.,2006,35,0,10,45,7,7
,Powhatan Co.,5,,943,5,183,"1,131",,
14701,Farmville Vol. Fire Dept.,Prince Edward Co.,2006,250,0,31,281,12,12
14702,Hampden-Sydney Vol. Fire Dept.,Prince Edward Co.,2006,82,0,41,123,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 23 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14703,Darlington Heights Vol. Fire Dept.,Prince Edward Co.,2006,29,0,6,35,12,12
14704,Prospect Vol. Fire Dept. Inc.,Prince Edward Co.,2006,73,0,19,92,12,12
,Prince Edward Co.,4,,434,0,97,531,,
14900,Prince George Co. Fire & EMS,Prince George Co.,2006,"1,108",3,57,"1,168",12,12
,Prince George Co.,1,,"1,108",3,57,"1,168",,
15301,Prince Wm. Co. Dept. of Fire/Rescue,Prince William Co.,2006,"8,498",0,0,"8,498",12,12
,Prince William Co.,1,,"8,498",0,0,"8,498",,
15501,Draper VFD,Pulaski Co.,2006,96,0,2,98,12,12
15502,Dublin Vol. Fire Dept.,Pulaski Co.,2006,266,0,10,276,12,12
15503,Fairlawn Vol. Fire Dept.,Pulaski Co.,2006,143,0,8,151,12,12
15505,Newbern VFD,Pulaski Co.,2006,110,0,2,112,12,12
15506,Pulaski Fire Dept.,Pulaski Co.,2006,318,0,0,318,12,12
15507,Snowville Fire Dept.,Pulaski Co.,2006,48,0,10,58,12,12
15508,Twin Community VFD,Pulaski Co.,2006,87,1,3,91,12,12
,Pulaski Co.,7,,"1,068",1,35,"1,104",,
15701,Washington Vol. Fire Dept.,Rappahannock Co.,2006,65,0,78,143,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 24 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
15702,Sperryville Vol. Fire Dept.,Rappahannock Co.,2006,64,0,61,125,12,12
15703,Amissville Vol. Fire & Rescue Co.,Rappahannock Co.,2006,297,0,177,474,12,12
15705,Castleton Community Vol. Fire Comp.,Rappahannock Co.,2006,45,0,27,72,12,12
15706,Chester Gap Vol. Fire Dept.,Rappahannock Co.,2006,25,0,130,155,12,12
,Rappahannock Co.,5,,496,0,473,969,,
16100,Roanoke County Fire & Rescue,Roanoke Co.,2006,"10,397",3,228,"10,628",12,12
16102,Vinton Vol. Fire Dept.,Roanoke Co.,2006,84,0,2,86,9,9
16112,"Read Mountain Fire & Rescue Dept., Inc. -",Botetourt Co.,2006,497,1,796,"1,294",12,12
,Roanoke Co.,3,,"10,978",4,"1,026","12,008",,
16302,Glasgow VFD,Rockbridge Co.,2006,110,0,119,229,12,12
16304,Kerrs Creek VFD,Rockbridge Co.,2006,70,0,37,107,7,7
16305,Raphine VFD,Rockbridge Co.,2006,506,0,28,534,12,12
16306,Rockbridge Baths VFD,Rockbridge Co.,2006,87,0,15,102,12,12
16307,South River District VFD,Rockbridge Co.,2006,355,0,97,452,12,12
16309,Natural Bridge Vol. Fire Dept.,Rockbridge Co.,2006,287,0,118,405,12,12
,Rockbridge Co.,6,,"1,415",0,414,"1,829",,
16500,Rockingham Co. Dept. of Fire & Resc.,Rockingham Co.,2006,479,2,324,805,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 25 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
16501,Singers Glen Vol. Fire Co.,Rockingham Co.,2006,129,0,20,149,12,12
16502,Bergton Vol. Fire Co.,Rockingham Co.,2006,23,0,62,85,12,12
16503,Elkton Vol. Fire Company,Rockingham Co.,2006,459,0,176,635,12,12
16505,Broadway Vol. Fire Dept.,Rockingham Co.,2006,481,1,108,590,12,12
16506,Timberville Vol. Fire Dept.,Rockingham Co.,2006,237,0,79,316,12,12
16508,McGaheysville Vol. Fire Dept.,Rockingham Co.,2006,313,0,200,513,12,12
16515,Bridgewater Vol. Fire Co.,Rockingham Co.,2006,603,0,149,752,12,12
16517,Clover Hill Vol. Fire Co.,Rockingham Co.,2006,406,0,65,471,12,12
16520,Grottoes Vol Fire Dept.,Rockingham Co.,2006,534,2,118,654,12,12
16544,Hose Company No. 4,Rockingham Co.,2006,681,3,247,931,12,12
,Rockingham Co.,11,,"4,345",8,"1,548","5,901",,
16702,Dante Vol. Fire Dept.,Russell Co.,2006,82,0,4,86,12,12
16703,Honaker Vol. Fire Dept.,Russell Co.,2006,120,0,0,120,12,12
16705,Belfast-Rosedale Vol. Fire Dept.,Russell Co.,2006,52,0,5,57,12,12
16706,Copper Creek-Moccasin Vol. Fire Dept.,Russell Co.,2006,96,0,12,108,12,12
16707,Castlewood Vol. Fire Dept.,Russell Co.,2006,51,0,5,56,12,12
,Russell Co.,5,,401,0,26,427,,
16901,Duffield Vol. Fire & Rescue,Scott Co.,2006,15,0,1,16,7,7
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 26 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
16903,Gate City Vol. Fire Dept.,Scott Co.,2006,109,0,23,132,12,12
16905,Nickelsville Vol. Fire Dept.,Scott Co.,2006,26,0,0,26,10,10
16906,"Weber City Vol. Fire Dept., Inc.",Scott Co.,2006,91,0,15,106,12,12
16907,Fort Blackmore Vol. Fire Dept.,Scott Co.,2006,37,0,12,49,12,12
,Scott Co.,5,,278,0,51,329,,
17100,Shenandoah Co. Fire & Rescue,Shenandoah Co.,2006,0,0,71,71,11,11
17109,Toms Brook Vol. Fire Dept. Inc.,Shenandoah Co.,2006,162,0,338,500,12,12
17112,Woodstock Vol. Fire Dept.,Shenandoah Co.,2006,460,0,45,505,12,12
17113,Conicville Vol. Fire Dept.,Shenandoah Co.,2006,168,0,30,198,12,12
17114,Fort Valley Vol. Fire Dept.,Shenandoah Co.,2006,21,0,69,90,12,12
17115,Edinburg Vol. Fire Dept.,Shenandoah Co.,2006,114,0,151,265,12,12
17123,"New Market Vol. Fire Company, Inc.",Shenandoah Co.,2006,139,0,224,363,12,12
,Shenandoah Co.,7,,"1,064",0,928,"1,992",,
17301,Adwolfe Vol. Fire Dept.,Smyth Co.,2006,59,0,3,62,12,12
17302,Atkins VFD,Smyth Co.,2006,93,0,0,93,12,12
17303,Chilhowie Fire Dept.,Smyth Co.,2006,927,0,31,958,12,12
17304,Marion Vol. Fire Dept.,Smyth Co.,2006,203,0,6,209,12,12
17305,Nebo VFD,Smyth Co.,2006,27,0,0,27,11,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 27 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
17306,Saltville Vol. Fire Dept.,Smyth Co.,2006,88,0,3,91,12,12
17307,Sugar Grove VFD,Smyth Co.,2006,29,0,0,29,12,12
,Smyth Co.,7,,"1,426",0,43,"1,469",,
17501,"Boykins VFD & Rescue Sqd., Inc.",Southampton Co.,2006,105,0,23,128,9,9
17502,Branchville Vol. Fire Dept.,Southampton Co.,2006,24,2,24,50,11,11
17504,Courtland Vol. Fire Dept.,Southampton Co.,2006,124,0,30,154,12,12
17507,Newsoms Vol. Fire Dept.,Southampton Co.,2006,66,9,12,87,12,12
17508,Sedley Vol. Fire Dept.,Southampton Co.,2006,97,0,26,123,12,12
,Southampton Co.,5,,416,11,115,542,,
17700,Spotsylvania Fire & Rescue,Spotsylvania Co.,2006,"5,799",16,63,"5,878",12,12
,Spotsylvania Co.,1,,"5,799",16,63,"5,878",,
17900,Stafford Co. Fire & Rescue,Stafford Co.,2006,933,0,0,933,1,1
17908,Rockhill VFD,Stafford Co.,2006,296,0,3,299,7,7
,Stafford Co.,2,,"1,229",0,3,"1,232",,
18103,Surry Vol. Fire Dept.,Surry Co.,2006,76,0,3,79,12,12
,Surry Co.,1,,76,0,3,79,,
As of 04/18/2007,,,,,,,,,Page 28 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
18302,Stony Creek Vol. Fire Dept.,Sussex Co.,2006,95,0,11,106,12,12
18303,Wakefield Vol. Fire Dept.,Sussex Co.,2006,92,0,47,139,12,12
18304,Waverly Vol. Fire Dept.,Sussex Co.,2006,158,0,4,162,12,12
,Sussex Co.,3,,345,0,62,407,,
18501,Abbs Valley-Bossievain Vol. Fire Dept.,Tazewell Co.,2006,25,0,5,30,7,7
18502,Bluefield Virginia Fire Dept.,Tazewell Co.,2006,274,0,6,280,12,12
18505,Richlands Vol. Fire Dept.,Tazewell Co.,2006,349,0,0,349,12,12
18506,Tazewell Co. Vol. Fire Dept.,Tazewell Co.,2006,"1,209",0,26,"1,235",12,12
18507,Tazewell Town Fire Dept.,Tazewell Co.,2006,104,0,0,104,12,12
18511,Tannersville Vol Fire Dept.,Tazewell Co.,2006,30,0,0,30,11,12
18512,Clearfolk Vol. Fire Dept.,Tazewell Co.,2006,13,0,1,14,8,12
,Tazewell Co.,7,,"2,004",0,38,"2,042",,
18700,Warrant Co. Fire & Rescue,Warren Co.,2006,594,0,279,873,12,12
18701,"Front Royal Vol. Fire and Rescue Dept., In",Warren Co.,2006,"1,958",3,391,"2,352",12,12
18702,Rivermont Vol. Fire Dept.,Warren Co.,2006,275,0,290,565,12,12
18703,South Warren Vol. Fire Dept.,Warren Co.,2006,197,0,86,283,12,12
18704,Shenandoah Shores Fire Dept.,Warren Co.,2006,7,0,7,14,5,5
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 29 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
18705,Fortsmouth Vol. Fire Dept.,Warren Co.,2006,46,0,124,170,12,12
18706,Linden Vol. Fire Dept.,Warren Co.,2006,303,0,260,563,12,12
18707,North Warren Co. Fire & Rescue Dept.,Warren Co.,2006,241,0,218,459,12,12
,Warren Co.,8,,"3,621",3,"1,655","5,279",,
19104,Glade Spring VFD,Washington Co.,2006,139,0,2,141,12,12
19105,Meadowview VFD,Washington Co.,2006,143,0,7,150,12,12
19107,Green Spring VFD,Washington Co.,2006,21,0,4,25,5,5
19108,Clinch Mountain VFD,Washington Co.,2006,30,0,11,41,12,12
19110,Washington Co. VFD,Washington Co.,2006,68,0,2,70,3,3
19111,Goodson-Kinderhook Dist. VFD,Washington Co.,2006,511,0,9,520,10,10
19112,Brumley Gap VFD,Washington Co.,2006,18,0,0,18,3,3
19120,Abingdon Vol. Fire Dept.,Washington Co.,2006,360,0,10,370,12,12
,Washington Co.,8,,"1,290",0,45,"1,335",,
19301,"Colonial Beach Vol. Fire Dept., Inc.",Westmoreland Co.,2006,442,0,49,491,12,12
19302,Cople District Vol. Fire Dept.,Westmoreland Co.,2006,212,0,19,231,12,12
19303,Oak Grove Vol. Fire Dept.,Westmoreland Co.,2006,239,0,101,340,12,12
19304,Westmoreland Vol. Fire Dept.,Westmoreland Co.,2006,251,0,24,275,12,12
,Westmoreland Co.,4,,"1,144",0,193,"1,337",,
As of 04/18/2007,,,,,,,,,Page 30 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
19501,Valley Vol. Fire Dept.,Wise Co.,2006,341,1,35,377,12,12
19516,Coeburn Vol. Fire Dept.,Wise Co.,2006,46,0,1,47,7,7
19530,Appalachia Vol. Fire Dept.,Wise Co.,2006,62,0,1,63,9,9
19550,Big Stone Gap Vol. Fire Dept.,Wise Co.,2006,119,0,3,122,12,12
19570,Pound Vol. Fire Dept.,Wise Co.,2006,58,0,0,58,11,12
19580,Saint Paul Vol. Fire Dept.,Wise Co.,2006,39,0,3,42,12,12
19590,Wise Vol. Fire Dept.,Wise Co.,2006,151,0,3,154,12,12
,Wise Co.,7,,816,1,46,863,,
19701,Barren Springs Vol. Fire Dept.,Wythe Co.,2006,36,0,1,37,11,12
19702,Ivanhoe Vol. Fire Dept.,Wythe Co.,2006,21,0,11,32,7,7
19703,Max Meadows Vol. Fire Dept.,Wythe Co.,2006,157,0,10,167,12,12
19704,Rural Retreat Vol. Fire Dept.,Wythe Co.,2006,66,0,3,69,12,12
19705,Speedwell Vol. Fire Dept.,Wythe Co.,2006,23,0,4,27,10,12
19706,Wytheville Fire Dept.,Wythe Co.,2006,186,1,2,189,12,12
,Wythe Co.,6,,489,1,31,521,,
19900,York Co. Fire Dept.,York Co.,2006,"7,846",11,762,"8,619",12,12
,York Co.,1,,"7,846",11,762,"8,619",,
As of 04/18/2007,,,,,,,,,Page 31 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
51000,Alexandria Fire Dept.,Alexandria,2006,"16,102",0,156,"16,258",12,12
,Alexandria,1,,"16,102",0,156,"16,258",,
51500,Bedford Vol. Fire Co.,Bedford,2006,705,0,129,834,12,12
,Bedford,1,,705,0,129,834,,
52000,Bristol Fire Dept.,Bristol,2006,"1,813",0,16,"1,829",12,12
,Bristol,1,,"1,813",0,16,"1,829",,
53000,Buena Vista Fire Dept.,Buena Vista,2006,245,0,125,370,12,12
,Buena Vista,1,,245,0,125,370,,
54000,Charlottesville Fire Dept.,Charlottesville,2006,"4,661",5,"1,778","6,444",12,12
,Charlottesville,1,,"4,661",5,"1,778","6,444",,
55000,Chesapeake Fire Department,Chesapeake,2006,"23,923",21,108,"24,052",12,12
,Chesapeake,1,,"23,923",21,108,"24,052",,
56000,Clifton Forge Fire Dept.,Alleghany Co.,2006,91,3,41,135,12,12
,Alleghany Co.,1,,91,3,41,135,,
As of 04/18/2007,,,,,,,,,Page 32 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
57000,Colonial Heights Fire & EMS,Colonial Heights,2006,"3,931",5,239,"4,175",12,12
,Colonial Heights,1,,"3,931",5,239,"4,175",,
58000,Covington Fire Dept.,Covington,2006,222,0,35,257,12,12
,Covington,1,,222,0,35,257,,
59000,Danville Fire Dept.,Danville,2006,"4,841",4,2,"4,847",12,12
,Danville,1,,"4,841",4,2,"4,847",,
60000,Fairfax City Fire Dept.,Fairfax,2006,"2,851",0,989,"3,840",12,12
,Fairfax,1,,"2,851",0,989,"3,840",,
62000,Franklin Fire & Rescue Dept.,Franklin,2006,407,2,56,465,12,12
62001,Hunterdale Vol. Fire Dept.,Franklin,2006,63,0,355,418,12,12
,Franklin,2,,470,2,411,883,,
63000,Fredericksburg Fire Dept.,Fredericksburg,2006,"2,679",0,185,"2,864",12,12
,Fredericksburg,1,,"2,679",0,185,"2,864",,
64000,Galax VFD,Galax,2006,231,0,11,242,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 33 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Galax,1,,231,0,11,242,,
65000,Hampton Division of Fire & Rescue,Hampton,2006,"17,402",1,63,"17,466",12,12
,Hampton,1,,"17,402",1,63,"17,466",,
66000,Harrisonburg Fire Dept.,Harrisonburg,2006,"3,735",6,75,"3,816",12,12
,Harrisonburg,1,,"3,735",6,75,"3,816",,
67000,Hopewell Fire Dept.,Hopewell,2006,"3,103",1,114,"3,218",12,12
,Hopewell,1,,"3,103",1,114,"3,218",,
67800,Lexington Fire Dept.,Lexington,2006,128,0,29,157,7,7
,Lexington,1,,128,0,29,157,,
68000,Lynchburg Fire Dept.,Lynchburg,2006,"5,621",0,23,"5,644",12,12
,Lynchburg,1,,"5,621",0,23,"5,644",,
68301,Manassas Volunteer Fire Company,Manassas,2006,"1,387",1,846,"2,234",12,12
,Manassas,1,,"1,387",1,846,"2,234",,
68509,Manassas Park Fire Dept.,Manassas Park,2006,"1,054",2,"1,163","2,219",12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 34 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Manassas Park,1,,"1,054",2,"1,163","2,219",,
69000,Martinsville Fire Dept.,Martinsville,2006,"2,342",0,38,"2,380",12,12
,Martinsville,1,,"2,342",0,38,"2,380",,
70001,Newport News Fire Dept.,Newport News,2006,"11,452",64,38,"11,554",12,12
,Newport News,1,,"11,452",64,38,"11,554",,
71000,Norfolk Fire & Paramedical Serv.,Norfolk,2006,"20,651",12,0,"20,663",12,12
,Norfolk,1,,"20,651",12,0,"20,663",,
72000,Norton Fire Dept.,Norton,2006,76,0,1,77,12,12
,Norton,1,,76,0,1,77,,
73000,Petersburg Fire Rescue & Emergency Svc,Petersburg,2006,"3,373",14,121,"3,508",12,12
,Petersburg,1,,"3,373",14,121,"3,508",,
73500,Poquoson Fire/Rescue Dept.,Poquoson,2006,372,0,3,375,12,12
,Poquoson,1,,372,0,3,375,,
74000,Portsmouth Fire & Rescue,Portsmouth,2006,"12,187",10,37,"12,234",12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 35 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Portsmouth,1,,"12,187",10,37,"12,234",,
75000,Radford Fire Dept.,Radford,2006,640,2,1,643,12,12
,Radford,1,,640,2,1,643,,
76000,Richmond Dept. Fire/Emerg. Svcs.,Richmond,2006,"28,244",65,37,"28,346",12,12
,Richmond,1,,"28,244",65,37,"28,346",,
77000,Roanoke Fire-EMS,Roanoke City,2006,"22,306",13,186,"22,505",12,12
,Roanoke City,1,,"22,306",13,186,"22,505",,
77500,Salem Fire Dept.,Salem,2006,"2,382",0,43,"2,425",12,12
,Salem,1,,"2,382",0,43,"2,425",,
78000,South Boston Fire Dept.,Halifax Co.,2006,"1,553",0,32,"1,585",12,12
,Halifax Co.,1,,"1,553",0,32,"1,585",,
79000,Staunton Fire Dept.,Staunton,2006,"1,861",1,254,"2,116",12,12
,Staunton,1,,"1,861",1,254,"2,116",,
80000,Suffolk Fire & Rescue Dept.,Suffolk,2006,"11,601",6,45,"11,652",12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 36 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
80001,Chuckatuck Vol. Fire Dept.,Suffolk,2006,191,0,45,236,12,12
80002,Driver Vol. Fire Dept.,Suffolk,2006,611,0,92,703,12,12
80003,Holland Vol. Fire Dept.,Suffolk,2006,2,0,0,2,2,2
80004,Whaleyville Vol. Fire Dept.,Suffolk,2006,5,0,48,53,10,10
,Suffolk,5,,"12,410",6,230,"12,646",,
81000,Virginia Beach Fire Dept.,Virginia Beach,2006,"26,474",62,35,"26,571",12,12
,Virginia Beach,1,,"26,474",62,35,"26,571",,
82000,Waynesboro Fire Dept.,Waynesboro,2006,"2,082",0,57,"2,139",12,12
,Waynesboro,1,,"2,082",0,57,"2,139",,
83000,Williamsburg Fire Dept.,Williamsburg,2006,"2,485",0,457,"2,942",12,12
,Williamsburg,1,,"2,485",0,457,"2,942",,
84000,Winchester Fire & Rescue,Winchester,2006,"5,113",1,540,"5,654",12,12
,Winchester,1,,"5,113",1,540,"5,654",,
92002,Metropolitan Washington Airports Auth.,Washington DC,2006,"4,427",0,"1,128","5,555",12,12
92005,Richmond Int'l Airport Fire Dept.,Henrico Co.,2006,296,0,11,307,6,6
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 37 of 38
Year,2006,,,,,,,,,
FDID,Organization,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
92007,Shenandoah Valley Airport Fire,Shenandoah Valley Airport Fire,Augusta Co.,2006,5,0,2,7,5,12
92008,Lynchburg Regional Airport,Lynchburg Regional Airport,Lynchburg,2006,29,0,0,29,10,12
,Washington DC,Washington DC,4,,"4,757",0,"1,141","5,898",,
Summary for 'Year' =,Summary for 'Year' =,2006 (484 detail records),,,,,,,,
Sum,,,,,"565,891",488,"39,041","605,420",,
Grand Total,,,,,"565,891",488,"39,041","605,420",,
