"Run on 04JAN2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Div No.","Division Name","Sch No.","School Name","Low Grade","High Grade","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Algebra 1 Pass","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Geometry Pass","Geometry Pass","Geometry Proficient","Geometry Advanced","Geometry Pass","Geometry Proficient","Geometry Advanced","Algebra 2 Pass","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","Civics and","Civics and","Civics and","Civics and","Civics and","Civics and","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","World History","World History","World History","World History","World History","World History","World History","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World History","World History","World History","World History","World History","World History","World History","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Biology Pass","Biology Pass","Biology Proficient","Biology Advanced","Biology Pass","Biology Proficient","Biology Advanced","Chemistry Pass","Chemistry Pass","Chemistry Proficient","Chemistry Advanced","Chemistry Pass","Chemistry Proficient","Chemistry Advanced"
75,"Prince William County Public Schools",591,"RIPPON MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.77,68.42,55.26,13.16,78.95,65.53,13.42,62.23,65.59,59.71,5.88,73.59,70.77,2.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.75,75.67,64.17,11.5,82.96,64.69,18.27,97.65,98.59,63.38,35.21,97.14,51.43,45.71,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",63.5,".",".",".",".",".",".",".",".",".",".",".",".",74.34,53.7,20.63,80.71,54.89,25.82,83.12,59.85,23.27,85.6,60.8,24.8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",74.52,76.35,65.53,10.83,84.92,64.29,20.63,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",600,"BELMONT ELEM.","PK",5,59.72,57.89,55.26,2.63,72,60,12,79.1,75.34,53.42,21.92,85.29,61.76,23.53,79.71,73.75,67.5,6.25,87.14,64.29,22.86,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.17,84,60,24,84.38,42.19,42.19,61.19,63.41,52.44,10.98,71.05,60.53,10.53,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.72,60.42,39.58,20.83,82.81,46.88,35.94,81.33,70.67,57.33,13.33,68.33,43.33,25,".",".",".",".",".",".",".",26.32,26.32,".",46.58,42.47,4.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.72,56.25,43.75,12.5,87.5,59.38,28.13,68.66,60.76,39.24,21.52,77.94,69.12,8.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",610,"DALE CITY ELEM.","PK",5,51.4,64.77,56.82,7.95,70.45,64.77,5.68,47,72,54.67,17.33,74.44,64.44,10,51.55,80.77,66.67,14.1,85.39,69.66,15.73,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",71.96,82.11,43.16,38.95,85.15,43.56,41.58,30,66.67,49.38,17.28,72.16,61.86,10.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",67.92,78.72,39.36,39.36,83.84,53.54,30.3,85.88,94,42,52,94.74,46.05,48.68,".",".",".",".",".",".",".",41.77,36.71,5.06,35.87,33.7,2.17,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.49,71.58,53.68,17.89,83.84,61.62,22.22,51,64.56,53.16,11.39,68.48,61.96,6.52,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",620,"C. A. SINCLAIR ELEM.","PK",5,73.56,77.53,67.42,10.11,60.94,56.25,4.69,77.78,83.87,55.91,27.96,83.91,59.77,24.14,81.25,92.78,74.23,18.56,84.09,54.55,29.55,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.46,88.79,44.86,43.93,79.12,46.15,32.97,72.84,74.29,65.71,8.57,65.31,50,15.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.07,90.53,22.11,68.42,97.3,48.65,48.65,76.99,87.13,55.45,31.68,91.11,41.11,50,".",".",".",".",".",".",".",30.53,29.47,1.05,56.82,43.18,13.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.46,84.21,44.21,40,90.54,60.81,29.73,74.07,65.22,54.35,10.87,77.78,64.44,13.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",630,"GEORGE G. TYLER ELEM.","PK",5,75.45,66.07,55.36,10.71,55.64,43.61,12.03,79.26,66.67,51.04,15.63,85.83,59.17,26.67,84.5,77.78,63.33,14.44,93.22,54.24,38.98,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",85.59,90.52,43.97,46.55,81.16,32.61,48.55,69.85,58.59,52.53,6.06,78.74,61.42,17.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.64,92.86,37.5,55.36,80.6,38.06,42.54,81.4,89.11,61.39,27.72,91.45,40.17,51.28,".",".",".",".",".",".",".",26.8,26.8,".",59.68,45.16,14.52,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.64,84.82,48.21,36.61,83.58,41.04,42.54,83.08,62.89,52.58,10.31,87.9,72.58,15.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",640,"MILLS E. GODWIN MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",57.88,63,42.09,20.91,72.73,54.27,18.46,64,70.48,61.17,9.31,66.12,59.5,6.61,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",70.34,70.83,58.09,12.75,67.44,55.56,11.89,98.82,96.81,61.7,35.11,98.15,62.04,36.11,100,100,20,80,100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.09,".",".",".",".",".",".",".",".",".",".",".",".",55.52,35.47,20.06,65.86,42.9,22.96,68.09,50.8,17.29,78.72,51.06,27.66,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.16,77.36,50.67,26.68,78.8,55.71,23.1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",660,"COLES ELEM.","PK",5,61.64,70.97,58.06,12.9,78.57,67.86,10.71,87.5,73.91,44.93,28.99,84.21,52.63,31.58,83.53,83.58,68.66,14.93,84.42,41.56,42.86,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",73.33,77.94,36.76,41.18,95.08,22.95,72.13,79.35,58.33,45.83,12.5,67.09,43.04,24.05,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.87,88.89,39.68,49.21,90.16,29.51,60.66,84.38,86.67,53.33,33.33,83.58,34.33,49.25,".",".",".",".",".",".",".",30.43,27.54,2.9,61.33,54.67,6.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.39,85.71,49.21,36.51,86.89,47.54,39.34,78.26,79.41,69.12,10.29,84.21,65.79,18.42,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",670,"BEL AIR ELEM.","PK",5,54.22,72.46,62.32,10.14,73.61,54.17,19.44,80.9,89.19,70.27,18.92,92.31,78.46,13.85,78.02,85.14,77.03,8.11,92.54,71.64,20.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",69.88,83.91,36.78,47.13,82.35,43.53,38.82,59.55,69.23,53.85,15.38,83.82,64.71,19.12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.27,80.25,30.86,49.38,86.49,54.05,32.43,92.41,95.89,50.68,45.21,89.61,40.26,49.35,".",".",".",".",".",".",".",53.33,50.67,2.67,62.69,55.22,7.46,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",67.47,74.07,55.56,18.52,85.14,47.3,37.84,67.42,86.67,72,14.67,80.6,73.13,7.46,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",680,"STONEWALL JACKSON HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.79,85.57,57.39,28.17,84.93,55.77,29.16,90.11,88.02,71.09,16.93,79.85,51.33,28.52,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",61.79,59.13,53.54,5.58,68.16,60.61,7.55,81.8,82.82,63.44,19.39,69.98,54.24,15.74,83.77,84.68,47.97,36.71,87.28,58.28,28.99,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",72.61,83.26,60.73,22.53,86.85,58.99,27.85,".",".",".",".",".",".",".",92.07,84.23,60.85,23.38,81.75,57.54,24.21,61.53,57.66,46.7,10.96,63.72,48.43,15.29,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",52.12,49.57,46.09,3.48,54.47,51.31,3.15,79.78,80.35,71.61,8.75,74.51,64.4,10.11,85.33,84.98,69.1,15.88,86.51,70.24,16.26
75,"Prince William County Public Schools",690,"GAR-FIELD HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",7.32,15.38,15.38,".",4.35,4.35,".",".",".",".",".",".",".",".",88.21,84.06,53.9,30.16,83.42,62.3,21.13,87.12,82.14,68.3,13.84,81.33,56.63,24.7,".",".",".",".",".",".",".",".",".",".",".",".",".",".",6.12,17.14,17.14,".",9.76,9.76,".",56.58,62.38,59.92,2.46,77.52,67.43,10.09,73.02,75.47,60.82,14.65,71.37,50.66,20.72,77.34,86.6,54.25,32.35,85.79,53.35,32.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.31,78.9,57.17,21.74,88.43,56.06,32.37,".",100,100,".",".",".",".",89.53,78.59,65.63,12.96,83.11,59.46,23.65,62.1,61.83,49.03,12.8,74.42,51.45,22.97,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",51.79,58.81,54.45,4.36,66.38,58.75,7.63,69.55,67.69,62.38,5.31,66.96,59.88,7.08,71.21,81.1,70.87,10.24,81.16,68.12,13.04
75,"Prince William County Public Schools",700,"NEABSCO ELEM.","PK",5,59.83,59.17,55,4.17,71.88,61.46,10.42,54.55,76.42,60.38,16.04,82.88,68.47,14.41,62.39,80.37,69.16,11.21,87.72,62.28,25.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.96,69.11,41.46,27.64,86.79,47.17,39.62,47.11,71.3,59.26,12.04,70.18,57.89,12.28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",68.27,70.34,44.07,26.27,86.67,54.44,32.22,87.5,95.33,63.55,31.78,88.79,45.69,43.1,".",".",".",".",".",".",".",38.89,36.11,2.78,51.75,46.49,5.26,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",61.54,66.95,53.39,13.56,81.32,54.95,26.37,47.46,74.77,66.36,8.41,65.49,60.18,5.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",710,"C. D. HYLTON HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",14.29,".",".",".",".",".",".",".",".",".",".",".",".",".",91.95,87.8,59.1,28.71,85.96,66.22,19.73,89.37,86.94,68.28,18.66,88.48,61.21,27.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",15.38,".",".",".",".",".",".",66.05,70.68,65.04,5.64,70.92,62.66,8.26,78.19,72.51,61.01,11.5,80.4,60,20.4,89.49,76.99,54.79,22.19,88.52,61.2,27.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.15,84.87,56.35,28.52,88.95,59.12,29.83,".",63.16,63.16,".",100,100,".",92.11,79.74,56.29,23.45,77.82,50.75,27.07,66.89,67.33,53.78,13.56,68.67,52.09,16.58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.62,61.99,54.1,7.89,65.19,59.81,5.38,75.99,79.58,72.45,7.13,76.96,66.38,10.58,88.82,82.69,77.61,5.07,89.47,84.5,4.97
75,"Prince William County Public Schools",720,"LAKE RIDGE MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.02,86.71,51.66,35.05,87.99,62.85,25.14,77.27,88.34,69.39,18.95,83.94,75.49,8.45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",70.84,87.58,67.08,20.5,89.72,71.11,18.61,100,99.06,64.15,34.91,100,36.73,63.27,100,100,28.57,71.43,100,12.5,87.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",86.81,".",".",".",".",".",".",".",".",".",".",".",".",76.35,46.41,29.94,85.49,44.48,41.01,86.77,54.15,32.62,85.71,54.97,30.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.24,93.1,55.49,37.62,92.84,62.09,30.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",730,"SHARON C. MCAULIFFE ELEM.","PK",5,69.39,62.11,54.74,7.37,63.74,54.95,8.79,72.81,77.48,54.95,22.52,80.7,69.3,11.4,78.45,78.26,66.09,12.17,88.6,61.4,27.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",86.73,85.86,41.41,44.44,83.51,41.24,42.27,58.77,64.1,56.41,7.69,65.55,52.94,12.61,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.84,87.5,28.13,59.38,83.7,39.13,44.57,71.82,81.97,67.21,14.75,73.53,54.9,18.63,".",".",".",".",".",".",".",44.55,43.64,0.91,47.01,44.44,2.56,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.78,86.46,55.21,31.25,88.04,50,38.04,66.67,80.91,70.91,10,71.79,65.81,5.98,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",740,"WESTRIDGE ELEM.","PK",5,71.08,78.85,65.38,13.46,85.06,56.32,28.74,96.94,93.14,50.98,42.16,96.05,55.26,40.79,96.04,95.15,43.69,51.46,100,41.33,58.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75,90.38,40.38,50,96.55,35.63,60.92,79.59,85.29,65.69,19.61,92.11,63.16,28.95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.05,91.35,39.42,51.92,95.4,25.29,70.11,88.89,97.3,28.38,68.92,97.94,24.74,73.2,".",".",".",".",".",".",".",71.57,61.76,9.8,73.68,56.58,17.11,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.61,90.38,55.77,34.62,91.95,43.68,48.28,87.76,89.22,59.8,29.41,93.42,53.95,39.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",750,"RIVER OAKS ELEM.","PK",5,50,57.95,48.86,9.09,61.73,51.85,9.88,69.17,75.26,47.42,27.84,74.03,59.74,14.29,75,85.26,72.63,12.63,81.48,55.56,25.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.67,80.81,44.44,36.36,72.41,41.38,31.03,55.83,75.49,60.78,14.71,72.5,60,12.5,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.67,86.6,43.3,43.3,81.11,50,31.11,74.51,87.64,49.44,38.2,94.19,41.86,52.33,".",".",".",".",".",".",".",45.54,40.59,4.95,47.44,33.33,14.1,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",62.5,74.23,49.48,24.74,70.79,52.81,17.98,66.39,75.76,60.61,15.15,67.95,56.41,11.54,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",760,"ANTIETAM ELEM.","PK",5,82.93,91.57,57.83,33.73,97.47,68.35,29.11,92.05,84.04,41.49,42.55,95.74,56.38,39.36,89.01,92.22,57.78,34.44,94.57,43.48,51.09,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.46,97.7,20.69,77.01,100,19.75,80.25,80.61,78.57,64.29,14.29,85.42,57.29,28.13,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.67,98.77,17.28,81.48,98.7,18.18,80.52,71.11,76.74,53.49,23.26,88.37,48.84,39.53,".",".",".",".",".",".",".",51.11,45.56,5.56,61.7,51.06,10.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.9,95,32.5,62.5,98.68,38.16,60.53,85.71,85.56,64.44,21.11,90.43,65.96,24.47,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",770,"GEORGE P. MULLEN ELEM.","PK",5,70.83,67.54,59.65,7.89,74.7,66.27,8.43,66.67,82.26,61.29,20.97,83.7,61.96,21.74,67.8,79.23,59.23,20,88.76,58.43,30.34,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.83,90.51,47.45,43.07,81.44,28.87,52.58,56.03,71.09,60.16,10.94,70.83,57.29,13.54,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.33,86.36,35.61,50.76,85.56,32.22,53.33,78.91,69.29,48.03,21.26,82.14,48.21,33.93,".",".",".",".",".",".",".",34.62,33.85,0.77,59.14,39.78,19.35,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.83,81.2,53.38,27.82,92.13,58.43,33.71,63.25,74.62,62.31,12.31,81.05,73.68,7.37,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",780,"STUART M. BEVILLE MIDDLE",6,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",59.83,66.49,52.59,13.9,77.59,62.75,14.85,62.68,72.41,66.84,5.57,64.19,60.74,3.45,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",70.03,75.84,58.87,16.97,76.32,60.45,15.88,100,100,77.55,22.45,100,60.47,39.53,".",100,100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.5,".",".",".",".",".",".",".",".",".",".",".",".",66.49,47.61,18.88,75.16,47.8,27.36,75.84,58.71,17.13,64.3,50.63,13.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.12,85.75,63.71,22.04,81.87,63.19,18.68,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",790,"THURGOOD MARSHALL ELEM.","PK",5,81.68,80.95,58.73,22.22,87.12,68.18,18.94,94.81,95.1,31.47,63.64,97.04,40.74,56.3,93.46,97.2,46.85,50.35,98.54,46.72,51.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",92.42,92.06,18.25,73.81,94.7,10.61,84.09,88.96,93.71,57.34,36.36,94.81,44.44,50.37,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.66,96.67,16.67,80,98.48,18.94,79.55,91.61,94.07,50.37,43.7,96,32,64,".",".",".",".",".",".",".",79.58,56.34,23.24,78.52,57.04,21.48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.66,99.16,49.58,49.58,95.45,28.03,67.42,91.5,97.18,54.23,42.96,94.81,53.33,41.48,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
75,"Prince William County Public Schools",800,"MONTCLAIR ELEM.","PK",5,84.95,87.18,73.08,14.1,81.48,67.9,13.58,98.9,95.92,48.98,46.94,85.57,54.64,30.93,96.74,96.97,66.67,30.3,93.62,40.43,53.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.4,97.37,23.68,73.68,90.48,23.81,66.67,89.01,87.76,62.24,25.51,80.61,54.08,26.53,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",98.94,100,14.47,85.53,95.24,22.62,72.62,98.89,98.88,41.57,57.3,98.77,30.86,67.9,".",".",".",".",".",".",".",62.24,58.16,4.08,72.16,54.64,17.53,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",97.85,94.81,37.66,57.14,90.36,43.37,46.99,97.78,94.9,65.31,29.59,81.63,64.29,17.35,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
