,,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City
10703,"Middleburg VFD, Inc.",Loudoun Co.,2008,160,1,51,212,12,12
10704,Round Hill Vol. Fire Dept.,Loudoun Co.,2008,247,0,49,296,12,12
10705,Hamilton VFD,Loudoun Co.,2008,367,0,82,449,10,10
10706,Ashburn Fire & Rescue,Loudoun Co.,2008,"4,954",0,317,"5,271",12,12
10707,Aldie VFD,Loudoun Co.,2008,214,0,86,300,12,12
10708,Philomont VFD,Loudoun Co.,2008,210,0,259,469,12,12
10709,Arcola-Pleasant Valley Fire/Rescue,Loudoun Co.,2008,"1,090",0,0,"1,090",12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 17 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
10710,"Lucketts Vol. Fire Co., Inc.",Loudoun Co.,2008,164,0,140,304,12,12
10711,Sterling VFD,Loudoun Co.,2008,"3,207",8,65,"3,280",12,12
10716,Neersville Vol. Fire/Rescue,Loudoun Co.,2008,108,0,86,194,12,12
,Loudoun Co.,12,,"13,147",9,"1,313","14,469",,
10903,Locust Creek VFD,Louisa Co.,2008,214,0,11,225,12,12
10904,Louisa Vol. Fire Dept.,Louisa Co.,2008,240,0,246,486,12,12
10905,Mineral Vol. Fire Dept.,Louisa Co.,2008,257,0,114,371,12,12
10907,Zion Crossroads VFD,Louisa Co.,2008,113,0,109,222,12,12
,Louisa Co.,4,,824,0,480,"1,304",,
11101,Kenbridge Vol. Fire Dept.,Lunenburg Co.,2008,113,2,11,126,11,11
11102,Meherrin Vol. Fire & Rescue Team - Engin,Lunenburg Co.,2008,40,0,0,40,2,2
11103,Victoria Fire & Rescue Inc.,Lunenburg Co.,2008,770,0,20,790,12,12
,Lunenburg Co.,3,,923,2,31,956,,
11301,Madison Co. Vol. Fire Dept.,Madison Co.,2008,369,0,1,370,12,12
,Madison Co.,1,,369,0,1,370,,
11501,"Mathews Vol. Fire Dept., Inc.",Mathews Co.,2008,243,1,2,246,12,12
,Mathews Co.,1,,243,1,2,246,,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 18 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
11702,Buckhorn Vol. Fire Dept.,Mecklenburg Co.,2008,27,0,18,45,11,11
11703,Chase City Vol. Fire Dept.,Mecklenburg Co.,2008,188,0,42,230,12,12
11704,Clarksville Vol. Fire Dept.,Mecklenburg Co.,2008,192,0,18,210,12,12
11705,"LaCrosse Vol. Fire Dept., Inc.",Mecklenburg Co.,2008,90,0,94,184,12,12
11706,"Palmer Springs Vol. Fire Dept., Inc.",Mecklenburg Co.,2008,30,1,8,39,10,10
11707,South Hill Vol. Fire Dept.,Mecklenburg Co.,2008,98,0,11,109,3,3
11708,Lake Gaston Vol. Fire Dept.,Mecklenburg Co.,2008,43,0,12,55,12,12
,Mecklenburg Co.,7,,668,1,203,872,,
11901,Hartfield VFD,Middlesex Co.,2008,53,0,0,53,12,12
11902,Lower Middlesex VFD,Middlesex Co.,2008,31,0,11,42,9,9
11903,Middlesex Vol. Fire Dept.,Middlesex Co.,2008,86,0,12,98,12,12
,Middlesex Co.,3,,170,0,23,193,,
12102,Blacksburg Vol. Fire Dept.,Montgomery Co.,2008,771,0,2,773,10,10
12103,Christiansburg Vol. Fire Dept.,Montgomery Co.,2008,666,0,10,676,12,12
12104,Elliston Vol. Fire Dept.,Montgomery Co.,2008,252,0,98,350,12,12
12106,Riner Vol. Fire Dept.,Montgomery Co.,2008,134,0,9,143,12,12
,Montgomery Co.,4,,"1,823",0,119,"1,942",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 19 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
12501,Lovingston Vol. Fire Dept.,Nelson Co.,2008,193,0,32,225,12,12
12502,Piney River Vol. Fire Dept.,Nelson Co.,2008,118,2,19,139,12,12
12503,Faber Vol. Fire Dept.,Nelson Co.,2008,42,0,32,74,9,9
12504,Gladstone Vol. Fire Dept.,Nelson Co.,2008,59,0,12,71,12,12
12505,Rockfish Valley Vol Fire Dept.,Nelson Co.,2008,86,0,47,133,12,12
12506,Wintergreen Vol. Fire Dept.,Nelson Co.,2008,112,0,36,148,9,9
12507,Montebello Vol. Fire Dept.,Nelson Co.,2008,78,0,2,80,12,12
,Nelson Co.,7,,688,2,180,870,,
12700,New Kent Co. Fire & Rescue,New Kent,2008,964,0,23,987,12,12
12702,Quinton Vol. Fire & EMS,New Kent Co.,2008,7,0,0,7,3,3
12703,Weir Creek Emergency Serv.,New Kent Co.,2008,3,0,0,3,2,2
,New Kent,3,,974,0,23,997,,
13113,"Community Fire Company, Inc.",Northampton Co.,2008,"1,058",0,26,"1,084",12,12
13115,Cape Charles Vol. Fire Dept.,Northampton Co.,2008,43,0,36,79,12,12
13116,"Northampton Fire & Res., Inc.",Northampton Co.,2008,90,1,49,140,12,12
13117,"Eastville Vol. Fire Co., Inc.",Northampton Co.,2008,72,0,80,152,12,12
,Northampton Co.,4,,"1,263",1,191,"1,455",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 20 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
13302,Callao Vol. Fire Dept.,Northumberland Co.,2008,123,0,35,158,12,12
13303,Fairfield Vol. Fire Dept.,Northumberland Co.,2008,124,0,10,134,12,12
,Northumberland Co.,2,,247,0,45,292,,
13502,Burkeville Vol. Fire Dept.,Nottoway Co.,2008,326,0,68,394,12,12
13504,Blackstone Vol. Fire Dept.,Nottoway Co.,2008,182,2,15,199,11,11
,Nottoway Co.,2,,508,2,83,593,,
13700,County of Orange Fire & EMS,Orange Co,2008,"2,728",0,21,"2,749",12,12
13702,Gordonsville Vol. Fire Dept.,Orange Co.,2008,65,0,118,183,6,6
13703,Lake of the Woods VFD,Orange Co.,2008,376,0,58,434,12,12
13705,Orange Vol. Fire Dept.,Orange Co.,2008,614,0,169,783,12,12
,Orange Co,4,,"3,783",0,366,"4,149",,
13901,Luray Vol. Fire Dept.,Page Co.,2008,117,0,9,126,7,7
13902,"Shenandoah Vol. Fire Co., Inc.",Page Co.,2008,218,0,66,284,12,12
13903,Stanley Vol. Fire Dept.,Page Co.,2008,477,0,36,513,12,12
,Page Co.,3,,812,0,111,923,,
14101,Ararat Vol Fire Dept.,Patrick Co.,2008,156,0,18,174,12,12
14102,CCDF Vol. Fire Dept.,Patrick Co.,2008,22,0,2,24,3,3
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 21 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14104,Meadows of Dan Vol. Fire Dept,Patrick Co.,2008,13,0,14,27,9,9
14105,Moorefield Store Vol. Fire Dept.,Patrick Co.,2008,26,0,14,40,7,7
14106,Stuart Vol. Fire Dept.,Patrick Co.,2008,288,0,13,301,12,12
14107,Patrick-Henry Vol. Fire Dept.,Patrick Co.,2008,404,0,25,429,12,12
14108,Woolwine Vol. Fire Dept.,Patrick Co.,2008,87,0,10,97,12,12
14109,Fairystone Vol. Fire Dept.,Patrick Co.,2008,54,0,7,61,12,12
14110,Patrick Spring Vol. Fire Dept.,Patrick Co.,2008,156,0,16,172,12,12
,Patrick Co.,9,,"1,206",0,119,"1,325",,
14301,Riceville-Java VFD,Pittsylvania Co.,2008,53,0,13,66,12,12
14302,Hurt Vol. Fire Dept.,Pittsylvania Co.,2008,170,0,30,200,12,12
14303,Renan VFD,Pittsylvania Co.,2008,65,0,7,72,12,12
14305,Tunstall Vol. Fire & Rescue,Pittsylvania Co.,2008,448,0,68,516,12,12
14306,Mount Hermon Vol. Fire Dept.,Pittsylvania Co.,2008,412,0,64,476,12,12
14307,Mount Cross Vol. Fire Dept.,Pittsylvania Co.,2008,299,0,10,309,12,12
14308,Climax Vol. Fire Dept.,Pittsylvania Co.,2008,46,0,29,75,12,12
14309,Ringgold VFD,Pittsylvania Co.,2008,680,0,21,701,12,12
14310,Bachelor Hall Vol Fire Dept.,Pittsylvania Co.,2008,90,0,28,118,12,12
14311,Chatham Vol Fire Dept.,Pittsylvania Co.,2008,231,0,32,263,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 22 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14312,Gretna Vol Fire Dept.,Pittsylvania Co.,2008,248,0,54,302,12,12
14313,Brosville Vol. Fire Dept.,Pittsylvania Co.,2008,589,0,46,635,12,12
14314,Cool Branch Vol. Fire Dept.,Pittsylvania Co.,2008,49,0,13,62,6,6
14315,Blairs Vol. Fire Dept.,Pittsylvania Co.,2008,488,0,21,509,9,9
14316,Callands Vol. Fire & Rescue Dept.,Pittsylvania Co.,2008,91,0,7,98,12,12
14317,Dry Fork Vol. Fire Dept.,Pittsylvania Co.,2008,170,0,15,185,10,10
14318,Cascade Vol. Fire Dept.,Pittsylvania Co.,2008,126,0,22,148,12,12
14319,Kentuck Vol. Fire Dept.,Pittsylvania Co.,2008,198,0,38,236,12,12
14320,Keeling Vol. Fire Dept.,Pittsylvania Co.,2008,1,0,0,1,1,1
14321,Laurel Grove Vol. Fire Dept.,Pittsylvania Co.,2008,283,0,18,301,12,12
,Pittsylvania Co.,20,,"4,737",0,536,"5,273",,
14501,Powhatan Co. Vol. Fire Dept.,Powhatan Co.,2008,472,2,76,550,12,12
14502,Huguenot Vol. Fire Dept.,Powhatan Co.,2008,439,1,113,553,12,12
14503,Macon Fire Dept.,Powhatan Co.,2008,81,0,42,123,12,12
14504,Fine Creek Vol. Fire Dept.,Powhatan Co.,2008,417,0,51,468,12,12
14505,Deep Creek Vol. Fire Dept.,Powhatan Co.,2008,92,0,69,161,12,12
,Powhatan Co.,5,,"1,501",3,351,"1,855",,
14701,Farmville Vol. Fire Dept.,Prince Edward Co.,2008,260,0,40,300,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 23 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
14702,Hampden-Sydney Vol. Fire Dept.,Prince Edward Co.,2008,79,0,36,115,12,12
14703,Darlington Heights Vol. Fire Dept.,Prince Edward Co.,2008,33,0,13,46,12,12
14704,Prospect Vol. Fire Dept. Inc.,Prince Edward Co.,2008,69,0,17,86,12,12
,Prince Edward Co.,4,,441,0,106,547,,
14900,Prince George Co. Fire & EMS,Prince George Co.,2008,"1,235",4,63,"1,302",12,12
,Prince George Co.,1,,"1,235",4,63,"1,302",,
15301,Prince Wm. Co. Dept. of Fire/Rescue,Prince William Co.,2008,"17,813",0,2,"17,815",12,12
,Prince William Co.,1,,"17,813",0,2,"17,815",,
15501,Draper VFD,Pulaski Co.,2008,92,0,5,97,12,12
15502,Dublin Vol. Fire Dept.,Pulaski Co.,2008,255,0,6,261,12,12
15505,Newbern VFD,Pulaski Co.,2008,106,0,14,120,12,12
15506,Pulaski Fire Dept.,Pulaski Co.,2008,330,0,3,333,12,12
15507,Snowville Fire Dept.,Pulaski Co.,2008,80,0,8,88,12,12
15508,Twin Community VFD,Pulaski Co.,2008,67,0,0,67,12,12
,Pulaski Co.,6,,930,0,36,966,,
15701,Washington Vol. Fire Dept.,Rappahannock Co.,2008,220,0,445,665,12,12
15702,Sperryville Vol. Fire Dept.,Rappahannock Co.,2008,87,0,43,130,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 24 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
15703,Amissville Vol. Fire & Rescue Co.,Rappahannock Co.,2008,221,0,137,358,9,9
15704,Flint Hill Vol. Fire Co.,Rappahannock Co.,2008,56,0,55,111,12,12
15706,Chester Gap Vol. Fire Dept.,Rappahannock Co.,2008,63,0,182,245,12,12
,Rappahannock Co.,5,,647,0,862,"1,509",,
15901,"Richmond Co. Vol. Fire Dept., Inc.",Richmond Co.,2008,48,0,1,49,6,6
,Richmond Co.,1,,48,0,1,49,,
16100,Roanoke County Fire & Rescue,Roanoke Co.,2008,"11,003",4,334,"11,341",12,12
16102,Vinton Vol. Fire Dept.,Roanoke Co.,2008,139,1,2,142,12,12
16111,Back Creek Fire & Rescue Dept.,Roanoke Co.,2008,8,0,2,10,4,4
16112,"Read Mountain Fire & Rescue Dept., Inc. -",Botetourt Co.,2008,422,0,438,860,12,12
,Roanoke Co.,4,,"11,572",5,776,"12,353",,
16302,Glasgow VFD,Rockbridge Co.,2008,118,0,73,191,12,12
16304,Kerrs Creek VFD,Rockbridge Co.,2008,88,0,51,139,11,11
16305,Raphine VFD,Rockbridge Co.,2008,441,0,67,508,12,12
16306,Rockbridge Baths VFD,Rockbridge Co.,2008,74,0,34,108,12,12
16307,South River District VFD,Rockbridge Co.,2008,374,2,114,490,12,12
16309,Natural Bridge Vol. Fire Dept.,Rockbridge Co.,2008,378,0,51,429,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 25 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Rockbridge Co.,6,,"1,473",2,390,"1,865",,
16500,Rockingham Co. Dept. of Fire & Resc.,Rockingham Co.,2008,815,0,143,958,12,12
16501,Singers Glen Vol. Fire Co.,Rockingham Co.,2008,134,0,19,153,11,11
16502,Bergton Vol. Fire Co.,Rockingham Co.,2008,49,0,3,52,9,9
16503,Elkton Vol. Fire Company,Rockingham Co.,2008,378,0,208,586,12,12
16505,Broadway Vol. Fire Dept.,Rockingham Co.,2008,321,0,29,350,7,7
16506,Timberville Vol. Fire Dept.,Rockingham Co.,2008,167,0,70,237,12,12
16508,McGaheysville Vol. Fire Dept.,Rockingham Co.,2008,456,0,97,553,9,9
16515,Bridgewater Vol. Fire Co.,Rockingham Co.,2008,783,0,118,901,12,12
16517,Clover Hill Vol. Fire Co.,Rockingham Co.,2008,386,0,42,428,12,12
16520,Grottoes Vol Fire Dept.,Rockingham Co.,2008,544,1,86,631,12,12
16544,Hose Company No. 4,Rockingham Co.,2008,875,1,243,"1,119",12,12
,Rockingham Co.,11,,"4,908",2,"1,058","5,968",,
16702,Dante Vol. Fire Dept.,Russell Co.,2008,6,0,0,6,3,3
16705,Belfast-Rosedale Vol. Fire Dept.,Russell Co.,2008,13,0,0,13,4,4
16706,Copper Creek-Moccasin Vol. Fire Dept.,Russell Co.,2008,63,0,4,67,11,11
16707,Castlewood Vol. Fire Dept.,Russell Co.,2008,41,0,6,47,12,12
,Russell Co.,4,,123,0,10,133,,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 26 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
16901,Duffield Vol. Fire & Rescue,Scott Co.,2008,103,3,9,115,12,12
16903,Gate City Vol. Fire Dept.,Scott Co.,2008,106,0,35,141,12,12
16905,Nickelsville Vol. Fire Dept.,Scott Co.,2008,4,0,0,4,2,2
16906,"Weber City Vol. Fire Dept., Inc.",Scott Co.,2008,92,0,26,118,12,12
16907,Fort Blackmore Vol. Fire Dept.,Scott Co.,2008,51,0,9,60,10,11
,Scott Co.,5,,356,3,79,438,,
17109,Toms Brook Vol. Fire Dept. Inc.,Shenandoah Co.,2008,157,0,175,332,10,10
17112,Woodstock Vol. Fire Dept.,Shenandoah Co.,2008,420,3,82,505,12,12
17113,Conicville Vol. Fire Dept.,Shenandoah Co.,2008,180,0,18,198,11,11
17114,Fort Valley Vol. Fire Dept.,Shenandoah Co.,2008,60,0,34,94,11,11
17115,Edinburg Vol. Fire Dept.,Shenandoah Co.,2008,139,0,113,252,12,12
17123,"New Market Vol. Fire Company, Inc.",Shenandoah Co.,2008,64,0,28,92,3,3
17151,Strasburg Vol. Fire Dept.,Shenandoah Co.,2008,282,0,185,467,12,12
,Shenandoah Co.,7,,"1,302",3,635,"1,940",,
17301,Adwolfe Vol. Fire Dept.,Smyth Co.,2008,46,0,6,52,11,12
17302,Atkins VFD,Smyth Co.,2008,73,0,1,74,7,7
17303,Chilhowie Fire Dept.,Smyth Co.,2008,914,1,9,924,11,11
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 27 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
17304,Marion Vol. Fire Dept.,Smyth Co.,2008,203,0,3,206,12,12
17305,Nebo VFD,Smyth Co.,2008,8,0,1,9,2,2
17306,Saltville Vol. Fire Dept.,Smyth Co.,2008,87,1,3,91,11,11
17307,Sugar Grove VFD,Smyth Co.,2008,23,0,0,23,9,11
,Smyth Co.,7,,"1,354",2,23,"1,379",,
17501,"Boykins VFD & Rescue Sqd., Inc.",Southampton Co.,2008,94,1,11,106,4,4
17502,Branchville Vol. Fire Dept.,Southampton Co.,2008,7,3,9,19,3,3
17504,Courtland Vol. Fire Dept.,Southampton Co.,2008,104,0,18,122,12,12
17507,Newsoms Vol. Fire Dept.,Southampton Co.,2008,44,4,18,66,12,12
17508,Sedley Vol. Fire Dept.,Southampton Co.,2008,94,0,28,122,12,12
,Southampton Co.,5,,343,8,84,435,,
17700,Spotsylvania Fire & Rescue,Spotsylvania Co.,2008,"4,677",23,43,"4,743",10,10
,Spotsylvania Co.,1,,"4,677",23,43,"4,743",,
17900,Stafford Co. Fire & Rescue,Stafford Co.,2008,"12,441",1,0,"12,442",12,12
,Stafford Co.,1,,"12,441",1,0,"12,442",,
18101,Claremont Vol Fire Dept.,Surry Co.,2008,90,0,2,92,12,12
18102,Dendron VFD,Surry Co.,2008,38,0,19,57,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 28 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
18103,Surry Vol. Fire Dept.,Surry Co.,2008,155,0,6,161,12,12
,Surry Co.,3,,283,0,27,310,,
18302,Stony Creek Vol. Fire Dept.,Sussex Co.,2008,109,0,14,123,12,12
18303,Wakefield Vol. Fire Dept.,Sussex Co.,2008,66,0,37,103,12,12
18304,Waverly Vol. Fire Dept.,Sussex Co.,2008,107,0,12,119,12,12
18305,Sussex Courthouse VFD,Sussex Co.,2008,46,0,11,57,12,12
,Sussex Co.,4,,328,0,74,402,,
18501,Abbs Valley-Bossievain Vol. Fire Dept.,Tazewell Co.,2008,37,0,14,51,10,10
18502,Bluefield Virginia Fire Dept.,Tazewell Co.,2008,353,0,8,361,12,12
18505,Richlands Vol. Fire Dept.,Tazewell Co.,2008,468,0,6,474,12,12
18506,Tazewell Co. Vol. Fire Dept.,Tazewell Co.,2008,"1,953",0,62,"2,015",12,12
18507,Tazewell Town Fire Dept.,Tazewell Co.,2008,45,0,1,46,5,5
18511,Tannersville Vol Fire Dept.,Tazewell Co.,2008,22,0,0,22,10,11
18512,Clearfolk Vol. Fire Dept.,Tazewell Co.,2008,21,0,4,25,10,12
,Tazewell Co.,7,,"2,899",0,95,"2,994",,
18700,Warren Co. Fire & Rescue,Warren Co.,2008,561,0,149,710,12,12
18701,"Front Royal Vol. Fire and Rescue Dept., In",Warren Co.,2008,"2,124",0,585,"2,709",12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 29 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
18702,Rivermont Vol. Fire Dept.,Warren Co.,2008,203,0,380,583,12,12
18703,South Warren Vol. Fire Dept.,Warren Co.,2008,211,1,59,271,12,12
18704,Shenandoah Shores Fire Dept.,Warren Co.,2008,57,0,70,127,12,12
18705,Fortsmouth Vol. Fire Dept.,Warren Co.,2008,149,0,126,275,12,12
18706,Linden Vol. Fire Dept.,Warren Co.,2008,274,0,242,516,12,12
18707,North Warren Co. Fire & Rescue Dept.,Warren Co.,2008,271,0,250,521,12,12
,Warren Co.,8,,"3,850",1,"1,861","5,712",,
19104,Glade Spring VFD,Washington Co.,2008,124,0,11,135,12,12
19105,Meadowview VFD,Washington Co.,2008,160,0,5,165,12,12
19110,Washington Co. VFD,Washington Co.,2008,209,0,8,217,12,12
19112,Brumley Gap VFD,Washington Co.,2008,56,0,5,61,9,9
19120,Abingdon Vol. Fire Dept.,Washington Co.,2008,409,0,13,422,12,12
,Washington Co.,5,,958,0,42,"1,000",,
19301,"Colonial Beach Vol. Fire Dept., Inc.",Westmoreland Co.,2008,494,0,41,535,12,12
19302,Cople District Vol. Fire Dept.,Westmoreland Co.,2008,344,0,16,360,12,12
19303,Oak Grove Vol. Fire Dept.,Westmoreland Co.,2008,240,0,90,330,11,11
19304,Westmoreland Vol. Fire Dept.,Westmoreland Co.,2008,187,3,34,224,11,11
,Westmoreland Co.,4,,"1,265",3,181,"1,449",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 30 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
19501,Valley Vol. Fire Dept.,Wise Co.,2008,385,0,5,390,12,12
19516,Coeburn Vol. Fire Dept.,Wise Co.,2008,60,0,5,65,9,9
19550,Big Stone Gap Vol. Fire Dept.,Wise Co.,2008,140,0,2,142,12,12
19570,Pound Vol. Fire Dept.,Wise Co.,2008,10,0,1,11,4,4
19580,Saint Paul Vol. Fire Dept.,Wise Co.,2008,22,0,0,22,6,8
19590,Wise Vol. Fire Dept.,Wise Co.,2008,63,0,2,65,12,12
,Wise Co.,6,,680,0,15,695,,
19701,Barren Springs Vol. Fire Dept.,Wythe Co.,2008,91,0,16,107,12,12
19702,Ivanhoe Vol. Fire Dept.,Wythe Co.,2008,56,0,40,96,12,12
19703,Max Meadows Vol. Fire Dept.,Wythe Co.,2008,238,0,10,248,12,12
19704,Rural Retreat Vol. Fire Dept.,Wythe Co.,2008,131,0,2,133,12,12
19705,Speedwell Vol. Fire Dept.,Wythe Co.,2008,44,0,7,51,11,12
19706,Wytheville Fire Dept.,Wythe Co.,2008,192,0,3,195,12,12
,Wythe Co.,6,,752,0,78,830,,
19900,York Co. Fire Dept.,York Co.,2008,"8,246",2,670,"8,918",12,12
,York Co.,1,,"8,246",2,670,"8,918",,
51000,Alexandria Fire Dept.,Alexandria,2008,"17,229",0,43,"17,272",12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 31 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Alexandria,1,,"17,229",0,43,"17,272",,
51500,Bedford Vol. Fire Co.,Bedford,2008,706,3,177,886,12,12
,Bedford,1,,706,3,177,886,,
52000,Bristol Fire Dept.,Bristol,2008,"2,077",0,133,"2,210",12,12
,Bristol,1,,"2,077",0,133,"2,210",,
53000,Buena Vista Fire Dept.,Buena Vista,2008,184,0,186,370,12,12
,Buena Vista,1,,184,0,186,370,,
54000,Charlottesville Fire Dept.,Charlottesville,2008,"4,369",1,15,"4,385",12,12
,Charlottesville,1,,"4,369",1,15,"4,385",,
55000,Chesapeake Fire Department,Chesapeake,2008,"25,008",33,91,"25,132",12,12
,Chesapeake,1,,"25,008",33,91,"25,132",,
56000,Clifton Forge Fire Dept.,Alleghany Co.,2008,91,0,38,129,12,12
,Alleghany Co.,1,,91,0,38,129,,
57000,Colonial Heights Fire & EMS,Colonial Heights,2008,"4,598",6,291,"4,895",12,12
,Colonial Heights,1,,"4,598",6,291,"4,895",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 32 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
58000,Covington Fire Dept.,Covington,2008,205,3,47,255,12,12
,Covington,1,,205,3,47,255,,
59000,Danville Fire Dept.,Danville,2008,"5,147",11,1,"5,159",12,12
,Danville,1,,"5,147",11,1,"5,159",,
59500,Emporia Vol. Fire Dept.,Emporia,2008,341,0,8,349,12,12
,Emporia,1,,341,0,8,349,,
60000,Fairfax City Fire Dept.,Fairfax,2008,"2,851",0,812,"3,663",12,12
,Fairfax,1,,"2,851",0,812,"3,663",,
62000,Franklin Fire & Rescue Dept.,Franklin,2008,479,2,45,526,10,10
62001,Hunterdale Vol. Fire Dept.,Franklin,2008,70,0,318,388,12,12
,Franklin,2,,549,2,363,914,,
63000,Fredericksburg Fire Dept.,Fredericksburg,2008,"2,803",1,207,"3,011",12,12
,Fredericksburg,1,,"2,803",1,207,"3,011",,
64000,Galax VFD,Galax,2008,288,0,39,327,12,12
,Galax,1,,288,0,39,327,,
65000,Hampton Division of Fire & Rescue,Hampton,2008,"22,723",15,70,"22,808",12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 33 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Hampton,1,,"22,723",15,70,"22,808",,
66000,Harrisonburg Fire Dept.,Harrisonburg,2008,"4,188",23,124,"4,335",12,12
,Harrisonburg,1,,"4,188",23,124,"4,335",,
67000,Hopewell Fire Dept.,Hopewell,2008,"3,218",0,70,"3,288",12,12
,Hopewell,1,,"3,218",0,70,"3,288",,
