RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
821,CARINI'S PIZZERIA,53997,13065 FITZWATER DR,NOKESVILLE,VA,20181,ALLOWED PROHIBITED CONDUCT,1,N,ALEXANDRIA,INITIAL HEARING,6/5/2009,05/10/10,,,,,,Y,DISMISSED
466,HUNTERS HEAD,10099,9048 JOHN S MOSBY HWY,UPPERVILLE,VA,20184,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/13/2009,01/04/10,," $ 2,000.00 ",,,,,
77,SMOKIE JOE'S CAFÉ,55679,11 S 2ND STREET,WARRENTON,VA,20186,"HAS NOT DEMONSTRATED FINANCIAL RESPONSIBILITY, QUALIFICATIONS-RESTAURANT WINE AND BEER OR BEER ONLY, HAS NOT DEMONSTRATED BY (POLICE RECORD/RECORD AS FORMER LICENSEE) A LACKOF RESPECT FOR LAW AND ORDER",3,N,STAUNTON,APPEAL HEARING,1/12/2009,08/03/09,,,,,,,APPLICATION-OBJECTION 1&2-LICENSE REFUSED OBJ. 3-NOT SUBST.DUE TO REFUSAL FOR OTHER 2 CHARGES
376,THE IRON CITY HOT DOG SHOP,61487,"251 W LEE HWY, STE 668",WARRENTON,VA,20186,VIOLATING OR VILATED PROVISION OF THE ABC ACT WHILE APPLICATION PENDING (KEEPING A.B.),1,N,STAUNTON,INITIAL HEARING,9/17/2009,11/25/09,,,,12,,,APPLICATION GRANTED WITH 1 YR PROBATION
833,MOLON LAVE VINEYARDS,51622,10075 LEES MILL ROAD,WARRENTON,VA,20186,FAILURE TO FILE WINE WHOLESALERS TAX REPORT,1,N,STAUNTON,OFFER-IN-COMPROMISE,3/16/2010,04/30/10,, $ 250.00 ,,,,,
864,EL AGAVE AUTHENTIC MEXICAN RESTAURANT,12519,"251 W LEE HWY, STE 640",WARRENTON,VA,20186,UAB,1,Y,STAUNTON,INITIAL HEARING,12/4/2009,05/21/10,25," $ 2,000.00 ",,,,,
236,CHAMPPS AMERICANA,73784,11694 PLAZA AMERICAN DRIVE,RESTON,VA,20190,"CONDUCT HAPPY HOUR, ADVERTISING-HAPPY HOUR",2,N,ALEXANDRIA,CONSENT SETTLEMENT,7/17/2009,09/11/09,," $ 1,000.00 ",,,,,
306,OBI SUSHI,32470,1771 LIBRARY STREET,RESTON,VA,20190,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2009,10/27/09,, $ 500.00 ,,,,,
497,24 7 EXPRESS MARKET AND MERCADO LATINO,73286,1645 WASHINGTON PLAZA N,RESTON,VA,20190,"FINANCIAL RESPONSIBILITY, RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.",3,N,ALEXANDRIA,APPEAL HEARING,2/24/2009,01/22/10,45," $ 3,000.00 ",30,,,,
527,FRESH FIELDS,73176,11660 PLAZA AMERICA DRIVE,RESTON,VA,20190,SALE OF AB IN AN UNAUTHORIZED PLACE AND MANNER,1,N,ALEXANDRIA,INITIAL HEARING,7/17/2009,02/01/10,7, $ 250.00 ,,,,,
630,HYATT REGENCY RESTON HOTEL,6562,1800 PRESIDENTS STREET,RESTON,VA,20190,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/30/2009,02/24/10,," $ 2,000.00 ",,,,,
894,JASMINE CAFÉ,47773,1635 WASHINGTON PLAZA,RESTON,VA,20190,MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,11/1/2009,06/10/10,7, $ 500.00 ,,,,,
629,ARIAKE,34710,12184 GLADE DRIVE,RESTON,VA,20191,UAB,1,N,CHESAPEAKE,CONSENT SETTLEMENT,12/30/2009,02/24/10,," $ 2,000.00 ",,,,,
27,ARA RESTAURANT,48237,"7137 LITTLE RIVER TPKE, STE D",ANNANDALE,VA,22003,SALE OF A.B. IN AN UNAUTHORIZED PLACE OR MANNER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/28/2009,07/17/09,," $ 1,000.00 ",,,,,
42,NEW MANSEA,9237,4221 JOHN MARR DRIVE,ANNANDALE,VA,22003,"SALES OF A.B. TO (NO.) PERSONS LESS THAN 921) YOA 92COUNTS), CONSUMPTION OF A.B. BY (NO.) PERSONS LESS THAN 921) TOA (2 COUNTS), KEPT M.B. NOT BEARING M.B. STAMPS,  REFILLED OR TAMPERED-BOTTLES (M.B. LICENSE)",6,Y,ALEXANDRIA,APPEAL HEARING,5/23/2008,07/21/09,,,,,Y,,REVOKED
203,SEOUL GARDEN,53892,71336 COLUMBIA PIKE,ANNANDALE,VA,22003,FAILED TO OBLITERATE M.B. STAMPS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/5/2009,09/01/09,, $ 500.00 ,,,,,
274,DA IN,55401,"7220 COLUMBIA PIKE, STE B",ANNANDALE,VA,22003,LOITERING-INTOX PERSON,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/1/2009,10/16/09,, $ 500.00 ,,,,,
307,CUE CLUB,72960,7014 COLUMBIA PIKE,ANNANDALE,VA,22003,"FAILED TO OBLITERATE M.B STAMPS, DESIGNATED MANAGER NOT POSTED",2,N,ALEXANDRIA,CONSENT SETTLEMENT,7/11/2009,10/27/09,," $ 1,000.00 ",,,,,
416,CAFÉ NOIR,19287,7129 LITTLE RIVER TPKE,ANNANDALE,VA,22003,FAILED TO OBLITERATE MB STAMPS; KEPT/ALLOWED UNAUTHORIZED A.B.; FINANCIAL RESPONSIBILITY;CONSUMPTION OF UNAUTHORIZED A.B.;RETAILER PURCHASED WINE/BEER NOT FROM WHOLESALER; FAILED TO KEEP RECORDS & ALLOW INSPECTION; NOT LEGITIMATE OWNER,11,Y,ALEXANDRIA,APPEAL HEARING,1/20/2009,12/21/09,,,,,Y,,REVOKED
612,SEVEN STAR CAFÉ,26350,7133 COLUMBIA PIKE,ANNANDALE,VA,22003,ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGE BY EMPLOYEE WHILE ON DUTY,1,N,ALEXANDRIA,INITIAL HEARING,8/1/2009,02/16/10,7, $ 500.00 ,,,,,
613,CAFÉ NOIR,19287,7129 LITTLE RIVER TPKE,ANNANDALE,VA,22003,FAIL TO OBLITERATE MB STAMPS; ADVERTISED HAPPY HOUR,2,Y,ALEXANDRIA,INITIAL HEARING,7/31/2009,02/16/10,30," $ 5,000.00 ",10,,,,
627,SZECHUAN STAR,8020,6960H BRADDOCK ROAD,ANNANDALE,VA,22003,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/19/2010,02/24/10,25,,,,,,
646,HONG ANH RESTAURANT,56400,4709 BACKLICK RD,ANNANDALE,VA,22003,"MISREPSENTED A MATERIAL FACT, APPLICANT CONVICTED OF FELONY; SO LOCATED INTEREFEER W/ QUIETUDE AND TRANQUILITY; # OF LICENSES IN AREA DETRIMENTAL TO PUBLIC",4,N,ALEXANDRIA,INITIAL HEARING,3/25/2009,02/27/10,,,,,,,APPLICATION GRANTED
648,CAFE NOIR,19287,7129 LITTLE RIVER TPKE,ANNANDALE,VA,22003,"FAILURE TO OBLITERATE, ADVERTISED HAPPY HOUR",2,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,7/31/2009,02/26/10,10," $ 5,000.00 ",,,,,O/C VACATED BO
711,CHONG DAE GAM GAL BI,27777,7215 COLUMBIA PIKE,ANNANDALE,VA,22003,FINANCIAL RESPONSIBILITY,1,Y,ALEXANDRIA,INITIAL HEARING,3/31/2006,03/24/10,10," $ 1,000.00 ",,,,,
712,RIVERSIDE MUSIC STUDIO,41875,7331 LITTLE RIVER TURNPIKE,ANNANDALE,VA,22003,SOLD AB BETW/ 12:00AM - 6:00 AM; ALLOWED CONSUMPTION ON PREMISES; SOLD AB IN UNAUTHORIZED MANNER,3,N,ALEXANDRIA,INITIAL HEARING,5/30/2009,03/24/10,10," $ 2,000.00 ",,,,,1 CHARGE DISMISSED
848,SEOUL GOOL DAE GEE,53633,7220C COLUMBIA PIKE,ANNANDALE,VA,22003,"ALLOWED CONSUMPTION OF AB BY UAB, FAILED TO OBLITERATE MD STAMPS",2,N,ALEXANDRIA,CONSENT SETTLEMENT,2/13/2010,05/17/10,," $ 2,500.00 ",,,,,
191,NISSAN PAVILION,71606,7800 CELLAR DOOR DRIVE,BRISTOW,VA,22013,UAB (2 COUNTS),2,N,ALEXANDRIA,INITIAL HEARING,8/9/2008,08/31/09,25," $ 5,000.00 ",,,,,
736,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,51837,5747 BURKE CENTRE PKWY,BURKE,VA,22015,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/25/2010,04/05/10,," $ 2,000.00 ",,,,,
704,MONTCLAIR COUNTRY CLUB,49096,16500 EDGEWOOD DR,MONTCLAIR,VA,22025,KEPT AB NOT AUTHORIZED TO SELL,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/19/2010,03/17/10,, $ 500.00 ,,,,,
235,PRINCETON WOOD EXXON,6976,17164 JEFFERSON DAVIS HWY,DUMFRIES,VA,22026,FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/9/2009,09/11/09,, $ 500.00 ,,,,,
365,RUBY TUESDAY,41915,17050 JEFFERSON DAVIS HWY,DUMFRIES,VA,22026,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/25/2009,11/24/09,," $ 2,000.00 ",,,,,
590,MAVIS INTERNATIONAL FOOD,39151,17465 JEFFERSON DAVIS HWY,DUMFRIES,VA,22026,"FAILURE TO HAVE DESIGNATED MANAGER PRESENT, FAILURE TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS",2,N,ALEXANDRIA,INITIAL HEARING,6/9/2009,02/03/10,7," $ 1,000.00 ",,,,,
789,QUICK SHOP,52592,18020 MAIN ST,DUMFRIES,VA,22026,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/29/2010,04/23/10,,"$2,000.00 ",,,,,
917,MANDARIN COURT,46546,17233 WAYSIDE DRIVE,DUMFRIES,VA,22026,"OFFICER, DIRECTOR, MGR OR SHAREHOLDER CONVICTED OF FELONY",1,N,ALEXANDRIA,APPEAL HEARING,9/15/2009,06/21/10,,,,,Y,,REVOKED
19,THE SWEET LIFE CAFÉ,49284,3950 CHAIN BRIDGE ROAD,FAIRFAX,VA,22030,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2008,07/06/09,, $ 500.00 ,,,,,
269,JOHNS PLACE RESTAURANT & LOUNGE,25227,11104 LEE HWY,FAIRFAX  ,VA,22030,"UAB, PERMITTED BARTENDER UNDER 21 TO MIX A.B., CONSUMPTION OF A.B. BY A PERSON LESS THAN 21 YOA",3,N,ALEXANDRIA,OFFER-IN-COMPROMISE,5/19/2009,10/07/09,," $ 4,500.00 ",,,,,
525,COURTSIDE THAI CUISINE,42852,3981 CHAIN BRIDGE ROAD,FAIRFAX,VA,22030,"REFILLED/TAMPERED-BOTTLES, MB LICENSE;, RETAILER PURCHASED WINE/ BEER NOT FROM WHOLESALER;, KEPT/ALLOWED  UNAUTHORIZED A.B.; FINANCIAL RESPONSIBILTY, KEPT M.B. NOT BEARING M.B STAMPS, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION",6,N,ALEXANDRIA,INITIAL HEARING,5/19/2009,01/20/10,30," $ 3,500.00 ",,,,,
548,CEE FINE THAI DINING,43730,9901 FAIRFAX BLVD,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/14/2009,02/04/10, ," $ 2,000.00 ",,,,,
717,BEST OF THAI RESTAURANT,35910,4004 UNIVERSITY DRIVE,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,2/22/2010,03/26/10,0, $ 500.00 ,15,,,,
823,CVS PHARMACY #1957,62933,10090 FAIRFAX BLVD,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/22/2010,05/05/10,," $ 2,000.00 ",,,,,
846,AMERICANA GROCERY,42276,10897 MAIN ST,FAIRFAX,VA,22030,"UAB, FAILED TO KEEP MANAGER'S NAME POSTED",2,N,ALEXANDRIA,CONSENT SETTLEMENT,3/22/2010,05/13/10,," $ 2,500.00 ",,,,,
872,EL PUENTE DE ORO RESTAURANT,54502,9534 ARLINGTON BLVD,FAIRFAX,VA,22031,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2009,06/03/10,, $ 500.00 ,,,,,
231,CVS PHARMACY #2100,6630,9009 SILVERBROOK ROAD,FAIRFAX STATION,VA,22039,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,3/7/2009,09/09/09,30," $ 3,000.00 ",10,,,,
147,HANAHREUM INTERNATIONAL SUPERMARKET,77501,8103 LEE HWY,FALLS CHURCH,VA,22042,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/6/2009,08/20/09,," $ 2,000.00 ",,,,,
385,SIGN OF THE WHALE RESTAURANT,36070,7279 ARLINGTON BLVD,FALLS CHURCH,VA,22042,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.,1,N,ALEXANDRIA,INITIAL HEARING,4/27/2009,12/01/09,10," $ 1,000.00 ",,,,,
459,GREAT WALL SUPERMARKET,39597,2982 GALLOWS ROAD,FALLS CHURCH,VA,22042,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/26/2009,01/04/10,," $ 2,000.00 ",,,,,
528,VINH KEE RESTAURANT,15059,3103 D GRAHAM ROAD,FALLS CHURCH,VA,22042,"KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., FINANCIAL RESPONSIBILITY",2,N,ALEXANDRIA,INITIAL HEARING,7/21/2009,02/01/10,25," $ 2,000.00 ",10,,,,
661,MIU KEE RESTAURANT,5574,6653 ARLINGTON BLVD,FALLS CHURCH,VA,22042,"CONSUMPTION ON PREMISES (2), KEEP UNAUTHORIZED AB, FAIL KEEP RECORDS, PURCHASE OTHER THAN WHOLESALER, DESIGNATED MANAGER NOT POSTED, KEEP AB IN UNAUTHORIZED PLACE/MANNER",7,Y,ALEXANDRIA,INITIAL HEARING,7/12/2009,03/02/10,25," $ 4,500.00 ",,,,,
54,THE WESTIN TYSONS CORNER,39833,7801 LEESBURG PIKE,FALLS CHURCH,VA,22043,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,12/31/2008,07/28/09,," $ 1,000.00 ",,,,,
860,TARA THAI RESTAURANT,77425,7501 LEESBURG PIKE,FALLS CHURCH,VA,22043,MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,10/1/2008,05/21/10,7, $ 500.00 ,,,,,
72,SONG HAU RESTAURANT,39769,"6763 WILSON BLVD, STE 6A",FALLS CHURCH,VA,22044,"CONSUMPTION OF UNAUTHORIZED A.B.; KEPT M.B. NOT BEARING M.B. STAMPS, FAILED TO KEEP RECORDS & MAKE AVAILABLE; KEPT/ALLOWED UNAUTHORIZED A.B.; DESIGNATED MANAGER NOT POSTED, FAILED TO OBLITERATE M.B. STAMPS-; SALE OF A.B. IN AN UNAUTHORIZED PLACE/MANNER",10,Y,ALEXANDRIA,INITIAL HEARING,10/10/2008,08/03/09,10," $ 7,500.00 ",,,,,
241,NHA TRANG RESTAURANT,12177,"6757 WILSON BLVD, STE 7",FALLS CHURCH,VA,22044,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/12/2009,09/17/09,, $ 500.00 ,,,,,
493,QUAN HAI LUA RESTAURANT,31876,"6795 WILSON BLVD, STE 19",FALLS CHURCH,VA,22044,"RETAILER PURCHASED WINBE OR BEER OTHER THAN FROM WHOLESALER, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.",2,Y,ALEXANDRIA,INITIAL HEARING,5/8/2009,01/20/10,30," $ 2,500.00 ",15,,,,
57,DOGWOOD TAVERN,51467,132 W BROAD STREET,FALLS CHURCH,VA,22046,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/30/2009,07/29/09,," $ 2,000.00 ",,,,,
230,PARADISE CLUB & CAFÉ,39582,9154 RICHMOND HWY,FORT BELVOIR,VA,22060,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,11/30/2008,09/09/09,7, $ 500.00 ,,,,,
665,PEKING DELIGHT RESTAURANT,39054,752 WALKER ROAD,GREAT FALLS,VA,22066,"UNABLE TO SPEAK, READ, UNDERSTAND ENGLISH",1,N,ALEXANDRIA,INITIAL HEARING,11/6/2009,03/02/10,,,,,,,APPLICATION- LICENSE GRANTED_PROCEEDINGS TERMINATED
33,YOUNG WON TRADING INC,18906,7220 UNIT U TELEGRAPH SQUARE DRIVE,LORTON,VA,22079,"KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., SALE OF UNAUTHORIZED A.B.-ANY LICENSE (4 COUNTS), GIFTS OF A.B. (22 COUNTS), UNAUTHORIZED PICKUP (5 COUNTS), FAILED TO KEEP RECORDS",33,N,ALEXANDRIA,INITIAL HEARING,2/28/2008,07/21/09,45," $ 9,000.00 ",,,,Y,DISMISSED
358,VINNYS ITALIAN GRILL & PIZZERIA,45410,7730 GUNSTON PLAZA,LORTON,VA,22079,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/23/2009,11/24/09,," $ 2,000.00 ",,,,,
426,EASTERN WHOLESALE,20275,"8532 TERMINAL ROAD, UNIT O",LORTON,VA,22079,"QUALIFICATIONS TO RETAIN LICNESE-WHOLESALE WINE, FAILED TO REMIT ""STATE WINE TAX"", FAILED TO FILE WINE WHOLESALERS TAX REPORT",3,N,ALEXANDRIA,INITIAL HEARING,6/10/2009,12/22/09,,,,,Y,,REVOKED
427,EASTERN WHOLESALE,20251,"8532 TERMINAL ROAD, UNIT O",LORTON,VA,22079,"QUALIFICATIONS TO RETAIN LICENSE-WHOLESALE BEER, FAILED TO PAY ""BEER EXCISE TAX"", FAILED TO FILE ""MALT BEVERAGE WHOLESALERS TAX REPORT""",3,N,ALEXANDRIA,INITIAL HEARING,6/10/2009,12/22/09,,,,,Y,,REVOKED
505,MARVELOUS WINE,56223,7685 POHICK ROAD,LORTON,VA,22079,WHOLSALER WITHOUT ESTABLISHMENT PLACE OF BUSNIESS,1,N,ALEXANDRIA,INITIAL HEARING,11/7/2008,01/22/10,,,,,,,APPLICATION DENIED
44,CAFÉ OGGI,52753,6671 OLD DOMINION DRIVE,MCLEAN,VA,22101,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,12/15/2008,07/21/09,10," $ 1,000.00 ",,,,,PENALTY W/ CONDITION/RESTRICTIONS
272,GIANT FOOD STORE #758,7819,1454 CHAIN BRIDGE ROAD,MCLEAN,VA,22101,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/13/2009,10/16/09,," $ 2,000.00 ",,,,,
311,NM CAFÉ,50105,2255 INTERNATIONAL DRIVE,MCLEAN,VA,22102,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,8/7/2009,11/03/09,," $ 1,500.00 ",,,,,
275,7 ELEVEN STORE 2581 16282 B,54039,2973 CHAIN BRIDGE ROAD,OAKTON,VA,22124,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/13/2009,10/16/09,," $ 2,000.00 ",,,,,
658,OCCOQUAN INN,3163,301 MILL STREET,OCCOQUAN,VA,22125,UAB,1,N,ALEXANDRIA,INITIAL HEARING,7/28/2009,03/02/10,25," $ 2,000.00 ",,,,,
817,A&M MARKET,49586,251 POTOMAC AVE,QUANTICO,VA,22134,UAB,1,N,ALEXANDRIA,INITIAL HEARING,11/13/2009,05/10/10,25," $ 2,000.00 ",,,,,
312,SANG SANG PLUS,45962,6556 BACKLICK ROAD,SPRINGFIELD,VA,22150,"DESIGNATED MANAGER NOT ON DUTY, RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, KEPT M.B. NOT BEARING MB STAMPS, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., FAILED TO OBLITERATE M.B. STAMPS",5,N,ALEXANDRIA,INITIAL HEARING,3/27/2009,11/03/09,30," $ 4,500.00 ",15,,,,
513,MIKES AMERICAN GRILL,58202,6210 BACKLICK ROAD,SPRINGFIELD,VA,22150,UAB,1,N,ALEXANDRIA,APPEAL HEARING,1/23/2009,01/20/10,25," $ 2,000.00 ",,,,,
560,R&R CATERING,74830,"8004 ALBAN ROAD, STE A",SPRINGFIELD,VA,22150,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/23/2009,02/08/10,, $ 500.00 ,,,,,
584,GREEN OLIVES ITALIAN RESTAURANT,30369,6681 A BACKLICK ROAD,SPRINGFIELD,VA,22150,FAILURE TO SUBMIT MBAR,1,N,ALEXANDRIA,INITIAL HEARING,3/31/2009,02/03/10,7, $ 500.00 ,,,,, 
794,EL PASO MEXICAN RESTAURANT,77619,6804 COMMERCE ST,SPRINGFIELD,VA,22150,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/27/2010,04/27/10,," $ 2,000.00 ",,,,,
56,TA TOO BAR & RESTAURANT,39106,6981 C HECHINGER DRIVE,SPRINGFIELD,VA,22151,"UNAUTHORIZED GIFTS OF A.B., ILUMINATION",2,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,2/27/2009,07/28/09,," $ 1,000.00 ",,,,,
361,EXPRESS II,5543,6965 HECHINGER DRIVE,SPRINGFIELD,VA,22151,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/27/2009,11/24/09,," $ 2,000.00 ",,,,,
162,CACTUS TAVERNA,8570,8064 ROLLING ROAD,SPRINGFIELD,VA,22153,PREVENT SPECIAL AGENT/OTHER LAW-ENFORCEMENT OFFICER ACCESS TO PREMISES/STORAGE AREA,1,N,ALEXANDRIA,APPEAL HEARING,3/28/2008,08/20/09,10, $ 500.00 ,5,,,,
345,CERRO GRANDE,30015,6705 SPRINGFIELD MALL,SPRINGFIELD,VA,22160,"ALLOWED STRIPTEASE ACT, ALLOW EMPLOYEES TO APPEAR NUDE",2,N,ALEXANDRIA,INITIAL HEARING,3/30/2009,11/13/09,,,,,Y,,REVOKED
801,NATIONAL MUSEUM OF THE MARINE CORPS,44452,18900 JEFFERSON DAVIS HWY,TRIANGLE,VA,22172,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/29/2010,05/03/10,," $ 2,000.00 ",,,,,
314,JOHNNYS PIZZA RESTAURANT,45413,141 PARK STREET SE,VIENNA,VA,22180,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/23/2009,11/03/09,25," $ 2,000.00 ",,,,,
170,EGA RESTAURANT,58655,8413 A OLD COURTHOUSE ROAD,VIENNA,VA,22182,"MISREPRESENTED A MATERIAL FACT IN APPLYING FOR LICENSE, NOT LEGITIMATE OWNER OR OTHER PERSON HAVE OWNERSHIP INTERESTS IN BUSINESS",2,N,ALEXANDRIA,INITIAL HEARING,3/18/2009,08/27/09,,,,,,,APPLICATION-GRANTED LICENSE
279,SAKURA JAPANESE STEAK AND SEAFOOD HOUSE,47485,"8369 LEESBURG PIKE, STE 10",VIENNA,VA,22182,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/13/2009,10/16/09,," $ 2,000.00 ",,,,,
238,PICCADILLY,56022,13412 JEFFERSON DAVIS HWY J-6,WOODBRIDGE,VA,22191,DESIGNATED MANAGER NOT ON DUTY,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/30/2009,09/11/09,, $ 500.00 ,,,,,
400,TAQUERIA Y PUPUSERIA MIRTALINA,48722,13418 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,"DESIGNATED MAMAGER NOT ON DUTY, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION",2,N,ALEXANDRIA,INITIAL HEARING,5/5/2009,12/08/09,7," $ 1,000.00 ",,,,,
591,EL PORTAL RESTAURANT,16922,14561 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,"FAILURE TO HAVE DESIGNATED MANAGER PRESENT, FAILURE TO OBLITERATE MB STAMPS",2,N,ALEXANDRIA,INITIAL HEARING,6/18/2009,02/03/10,7," $ 1,000.00 ",,,,,
691,LATINO POLLO A LA BRAZZA,15121,14446 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/1/2010,03/12/10,25,,,,,,
740,LA LUNA,5962,14520 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/1/2010,04/05/10,," $ 2,000.00 ",,,,,
743,SUPER Q MART,54891,16593 RIVER RIDGE BLVD,WOODBRIDGE,VA,22191,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/1/2010,04/05/10,," $ 2,000.00 ",,,,,
839,EAST COAST BILLIARDS,54881,13989 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,CEASES TO QUALIFY,1,N,ALEXANDRIA,INITIAL HEARING,7/1/2008,05/11/10,15," $ 1,000.00 ",,,,,
859,TAQUERIA Y PUPUSERIA MIRTALINA,48722,13418 JEFFERSON DAVIS HWY,WOODBRIDGE,VA,22191,FAIL TO HAVE DESIGNATED MANAGER,1,Y,ALEXANDRIA,INITIAL HEARING,12/15/2009,05/21/10,20," $ 2,000.00 ",10,,,,
891,EL PULGARCITO GRILL,34694,1306 HORNER RD,WOODBRIDGE,VA,22191,UAB,1,N,ALEXANDRIA,INITIAL HEARING,2/1/2010,06/10/10,25," $ 2,000.00 ",,,,,
28,ABI AZTECA GRILL & BAR,44695,13760 SMOKETREE ROAD,WOODBRIDGE,VA,22192,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/31/2009,07/17/09,, $ 500.00 ,,,,,
50,CHARBROIL GRILL,12718,14239 POTOMAC MILLS,WOODBRIDGE,VA,22192,KEPT M.B. NOT BEARING M.B. STAMPS,1,Y,ALEXANDRIA,INITIAL HEARING,2/4/2009,07/21/09,15," $ 2,000.00 ",,,,,
277,PARKWAY EXXON,14130,13000 WORTH AVENUE,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/9/2009,10/16/09,," $ 2,000.00 ",,,,,
302,OLD BRIDGE CONVENIENCE MART,61350,3220 OLD BRIDGE ROAD,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/9/2009,10/27/09,," $ 2,000.00 ",,,,,
304,HP FRIENDLY FOOD MART,38952,1420 OLD BRIDGE ROAD,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/9/2009,10/27/09,," $ 2,000.00 ",,,,,
